family,mechanism,role,variant,instrument,session,entry_model,orb_minutes,rr_target,k_family,n_is,exp_r_is,t_stat,p_value,q_value,wfe,era_dead,n_oos,exp_r_oos,mean_cost_to_risk,classification
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,30,1.0,594,1646,-0.04943839611178615,-2.344228907478218,0.019184889725600163,0.0614986128362966,,True,71,-0.061025352112676054,0.09073823873936246,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,15,1.0,594,1655,-0.06882374622356495,-3.222679005327105,0.0012947035070040198,0.0070070134524790415,,True,72,-0.00223611111111111,0.11843706692095991,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,15,1.5,594,1655,-0.08395462235649546,-3.2584391775161317,0.0011429936199157569,0.0063074507018749965,,True,72,-0.018704166666666674,0.11843706692095991,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,5,2.0,594,1658,-0.09095850422195416,-3.0935635996787214,0.0020107159484111037,0.010025653131660919,,True,84,-0.0018357142857143003,0.17477836320042744,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,15,2.0,594,1655,-0.09288743202416919,-3.207770841885163,0.0013632794778731389,0.007304169898389504,,True,72,0.06001805555555557,0.11843706692095991,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,5,1.0,594,1658,-0.09627611580217131,-4.714222668642571,2.6295109261875805e-06,3.89722468005141e-05,,True,84,0.052116666666666665,0.17477836320042744,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,30,2.0,594,1646,-0.09845965978128796,-3.721797700444605,0.0002044655193981769,0.001518685271667838,,True,71,-0.02994929577464791,0.08508170100635194,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,30,1.5,594,1646,-0.10165747266099634,-4.170892684694509,3.192290049598787e-05,0.00031398140487834647,,True,71,-0.0714985915492958,0.08508170100635194,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,30,1.0,594,1646,-0.10334343863912517,-4.929803581963851,9.061570731151549e-07,1.553206102511971e-05,,True,71,-0.11211830985915495,0.08508170100635194,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,5,1.5,594,1658,-0.11674270205066344,-4.618717527265245,4.159266487006858e-06,5.8301908978391135e-05,,True,84,-0.005539285714285717,0.17477836320042744,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,15,1.0,594,1655,-0.12777945619335346,-5.969382485072147,2.9080608398782345e-09,9.636866229381102e-08,,True,72,-0.09980833333333333,0.11117139059878307,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,15,2.0,594,1655,-0.13754561933534742,-4.847520936158036,1.367349712790669e-06,2.197963642799329e-05,,True,72,-0.06625277777777777,0.11117139059878307,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,15,1.5,594,1655,-0.14825824773413895,-5.8411974585023225,6.227581812295268e-09,1.8804969005164498e-07,,True,72,-0.08536944444444444,0.11117139059878307,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,5,1.0,594,1658,-0.16601218335343787,-8.014781264145501,2.0629681443965163e-15,3.1002093369977415e-13,,True,84,-0.06434642857142855,0.1618937549852565,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,5,2.0,594,1658,-0.16647285886610375,-5.7645831662000955,9.743903623512506e-09,2.8235473190644764e-07,,True,84,-0.18839523809523812,0.1618937549852565,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E1,5,1.5,594,1658,-0.18828184559710492,-7.493189935630264,1.0881629643750068e-13,1.0329458373654552e-11,,True,84,-0.1766690476190476,0.1618937549852565,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,30,1.0,594,1713,-0.07048289550496206,-3.312797180388931,0.0009429290010163163,0.005363738736414996,,True,75,-0.016709333333333347,0.12218961922468125,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,30,2.0,594,1713,-0.07660683012259195,-2.535677248749056,0.01131130499586283,0.04045027829732463,,True,75,0.07216266666666665,0.12218961922468125,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,30,1.5,594,1713,-0.08564775248102742,-3.273604721071942,0.0010830190107181646,0.006033162799362741,,True,75,0.04542533333333334,0.12218961922468125,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,15,1.0,594,1719,-0.09568726003490402,-4.6427581383939325,3.698906181065776e-06,5.253259723526823e-05,,True,76,-0.10542105263157896,0.15203040215464544,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,30,1.0,594,1713,-0.11842819614711034,-5.539967208845325,3.49629015019486e-08,8.86001056884674e-07,,True,75,-0.037068,0.11666557889235468,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E2,15,2.0,594,1719,-0.11971163467132054,-4.08014162639778,4.7070246691026766e-05,0.00043452562016773564,,True,76,-0.15006315789473687,0.15203040215464544,UNSUPPORTED_NULL_OR_NEGATIVE
