family,mechanism,role,instrument,session,cells,median_exp_r,mean_exp_r,best_exp_r,bh_pass_cells,t3_cells,deployable_candidates,provisional_cells,unsupported_cells,min_n_is,max_n_is,median_oos
size_friction,ORB size relative to friction,filter_conditioner,MGC,CME_REOPEN,72,0.017171676300578025,0.017669072204394152,0.19396506024096385,3,0,0,1,71,59,258,0.33545400000000003
size_friction,ORB size relative to friction,filter_conditioner,MGC,COMEX_SETTLE,72,-0.0020175925925925778,0.0006109261038240788,0.21727857142857138,4,0,0,0,72,36,519,-0.06008922535211268
size_friction,ORB size relative to friction,filter_conditioner,MGC,EUROPE_FLOW,72,-0.016139117876560603,0.012824199469538437,0.3076269230769231,0,0,0,0,72,26,641,0.02772089285714286
size_friction,ORB size relative to friction,filter_conditioner,MGC,LONDON_METALS,72,0.022600537634408602,0.027749184529634263,0.3279967741935484,2,0,0,0,72,31,708,-0.17500972222222225
size_friction,ORB size relative to friction,filter_conditioner,MGC,NYSE_OPEN,72,-0.024892983245048052,-0.028206382891168225,0.08141505102040816,5,0,0,0,72,130,881,0.11119652777777778
size_friction,ORB size relative to friction,filter_conditioner,MGC,SINGAPORE_OPEN,72,0.005933275995185861,0.0022941025425832614,0.15713143939393942,0,0,0,0,72,100,602,0.23602772781265907
size_friction,ORB size relative to friction,filter_conditioner,MGC,TOKYO_OPEN,72,0.09986176470588234,0.10812513054392597,0.28237684210526315,2,0,0,2,70,40,393,0.09706724709784412
size_friction,ORB size relative to friction,filter_conditioner,MGC,US_DATA_1000,72,0.0035026739471456306,0.005094125128500721,0.08217111111111111,0,0,0,0,72,212,867,-0.08479050215208031
size_friction,ORB size relative to friction,filter_conditioner,MGC,US_DATA_830,72,0.008879035627525532,0.005184543695215108,0.11470421455938698,1,0,0,0,72,239,855,-0.1279064393939394
size_friction,ORB size relative to friction,filter_conditioner,MNQ,BRISBANE_1025,72,-0.005644254262686465,-0.012785626730478285,0.09369025641025643,7,0,0,0,72,195,1601,0.1803627906976744
size_friction,ORB size relative to friction,filter_conditioner,MNQ,CME_PRECLOSE,72,0.026536156351791528,0.036116975209216834,0.18458568398727465,24,24,0,23,49,586,1551,0.005891826923076923
size_friction,ORB size relative to friction,filter_conditioner,MNQ,CME_REOPEN,72,-0.05573587429224905,-0.05106100575440791,0.03340403530895335,33,0,0,0,72,625,1388,0.08383858024691358
size_friction,ORB size relative to friction,filter_conditioner,MNQ,COMEX_SETTLE,72,-0.001981285863137624,0.01078069091881479,0.12873395061728396,17,9,0,13,59,826,1623,0.013872499999999965
size_friction,ORB size relative to friction,filter_conditioner,MNQ,EUROPE_FLOW,72,0.026984533290696635,0.02135808466910019,0.16464344122657576,11,5,0,11,61,587,1661,0.06897356321839081
size_friction,ORB size relative to friction,filter_conditioner,MNQ,LONDON_METALS,72,0.004700767288861143,-0.0003094497201484168,0.07815742016280526,6,0,0,0,72,720,1686,-0.04257674418604651
size_friction,ORB size relative to friction,filter_conditioner,MNQ,NYSE_CLOSE,72,-0.004237050499915271,-0.010116820926167417,0.057204403948367503,19,0,0,1,71,533,1340,0.15245641025641027
size_friction,ORB size relative to friction,filter_conditioner,MNQ,NYSE_OPEN,72,0.0704412975232966,0.06356200439392762,0.1362884638022366,36,36,0,36,36,1623,1709,0.05117823529411765
size_friction,ORB size relative to friction,filter_conditioner,MNQ,NYSE_PREOPEN,72,0.018051768091288778,0.011793766234707233,0.15859936842105263,21,12,0,12,60,645,1664,-0.03208571428571432
size_friction,ORB size relative to friction,filter_conditioner,MNQ,SINGAPORE_OPEN,72,0.046773096224625735,0.04253000284822465,0.14805272108843534,16,9,0,15,57,294,1632,0.11160465116279068
size_friction,ORB size relative to friction,filter_conditioner,MNQ,TOKYO_OPEN,72,0.01973047380336352,0.02673087997057404,0.20930403587443946,18,8,0,17,55,446,1652,0.09133882352941178
size_friction,ORB size relative to friction,filter_conditioner,MNQ,US_DATA_1000,72,0.0667138026829887,0.06271732926111522,0.1326681081081081,36,36,0,36,36,1470,1704,0.05442612859097128
size_friction,ORB size relative to friction,filter_conditioner,MNQ,US_DATA_830,72,-0.022006822206822214,-0.021857938346993507,0.042581699794379715,14,0,0,0,72,871,1685,-0.2305800198525241
volatility_state,volatility expansion/contraction,conditioner,MES,CME_PRECLOSE,36,-0.051311854976766935,-0.03972192280568873,0.07784327808471456,5,0,0,0,36,188,546,-0.07785000000000002
volatility_state,volatility expansion/contraction,conditioner,MES,CME_REOPEN,36,-0.14852386107272364,-0.14500658231873242,-0.054156737588652484,34,0,0,0,36,277,496,-0.09736363636363637
volatility_state,volatility expansion/contraction,conditioner,MES,COMEX_SETTLE,36,-0.07453665447897623,-0.0759980142322437,0.0027069469835466157,11,0,0,0,36,547,551,0.015332142857142825
volatility_state,volatility expansion/contraction,conditioner,MES,EUROPE_FLOW,36,-0.13068540209790208,-0.14163385969272124,-0.030605263157894743,24,0,0,0,36,570,572,-0.21374229885057472
volatility_state,volatility expansion/contraction,conditioner,MES,LONDON_METALS,36,-0.10566475079690628,-0.08379741047057318,0.15749381625441697,20,0,0,1,35,566,572,-0.08668333333333333
volatility_state,volatility expansion/contraction,conditioner,MES,NYSE_CLOSE,36,-0.11514264472305769,-0.10931722729684899,-0.03951296296296297,27,0,0,0,36,249,466,0.1888440476190476
volatility_state,volatility expansion/contraction,conditioner,MES,NYSE_OPEN,36,0.00574173466215655,0.004217984963860231,0.11909299474605954,1,0,0,0,36,569,573,0.01651333333333332
volatility_state,volatility expansion/contraction,conditioner,MES,SINGAPORE_OPEN,36,-0.13611226247574415,-0.15320752217597408,-0.03817368421052632,26,0,0,0,36,569,573,-0.2147
volatility_state,volatility expansion/contraction,conditioner,MES,TOKYO_OPEN,36,-0.10156306093557402,-0.10866976708822534,-0.014728970331588117,16,0,0,0,36,568,573,0.058626904761904734
volatility_state,volatility expansion/contraction,conditioner,MES,US_DATA_1000,36,0.019189355683135588,0.013186439186559179,0.12674588441331,4,0,0,1,35,567,573,0.053283690476190484
volatility_state,volatility expansion/contraction,conditioner,MES,US_DATA_830,36,-0.11573992627337637,-0.11041649831366337,-0.05429667832167832,19,0,0,0,36,571,572,-0.1393890804597701
volatility_state,volatility expansion/contraction,conditioner,MGC,CME_REOPEN,36,-0.2824622685185185,-0.24936484341902584,-0.09648167938931297,32,0,0,0,36,145,262,0.22367681818181817
volatility_state,volatility expansion/contraction,conditioner,MGC,COMEX_SETTLE,36,-0.17151,-0.172203414379707,-0.06917585034013604,27,0,0,0,36,293,305,-0.03779358974358973
volatility_state,volatility expansion/contraction,conditioner,MGC,EUROPE_FLOW,36,-0.12191967213114753,-0.12236277164601707,0.02970032786885247,14,0,0,0,36,303,305,0.00628684210526317
