session,om,rr,dir,filter,n_full,t_full,expr_full,is_t,oos_n,oos_expr,oos_t,oos_pw,tier,dir_match,p_full,bh_rank,bh_crit,bh_pass_Kfamily
LONDON_METALS,30,2.0,short,garch_forecast_vol_pct>=70,149,0.14,0.0149,-0.61,45,0.2254,1.04,0.07,STATISTICALLY_USELESS,False,0.8888503369786148,1823,0.045758032128514065,False
US_DATA_830,15,1.5,short,overnight_range_pct>=80,128,-0.14,-0.0131,-0.14,39,-0.0078,-0.04,0.05,STATISTICALLY_USELESS,True,0.8888817796250346,1824,0.04578313253012048,False
NYSE_OPEN,5,2.0,long,day_of_week==1,102,-0.14,-0.0176,0.08,31,-0.0852,-0.37,0.05,STATISTICALLY_USELESS,False,0.8889388006420936,1825,0.04580823293172691,False
LONDON_METALS,30,1.5,short,day_of_week==3,100,0.14,0.0159,-0.43,30,0.1807,0.82,0.06,STATISTICALLY_USELESS,False,0.8889444257796617,1826,0.04583333333333334,False
NYSE_OPEN,5,1.0,long,day_of_week==2,98,-0.14,-0.0122,-0.39,30,0.049,0.29,0.06,STATISTICALLY_USELESS,False,0.8889502825667533,1827,0.04585843373493976,False
US_DATA_830,15,2.0,short,day_of_week==0,95,0.14,0.0172,-0.1,29,0.0888,0.36,0.05,STATISTICALLY_USELESS,False,0.888959534388995,1828,0.04588353413654619,False
EUROPE_FLOW,5,1.5,short,day_of_week==2,87,0.14,0.0152,-0.28,27,0.1231,0.58,0.05,STATISTICALLY_USELESS,False,0.8889873567299609,1829,0.04590863453815261,False
US_DATA_1000,30,1.0,short,garch_forecast_vol_pct<=30,87,-0.14,-0.0112,-1.26,27,0.2323,1.67,0.13,STATISTICALLY_USELESS,False,0.8889873567299609,1830,0.04593373493975904,False
US_DATA_1000,30,1.5,short,garch_forecast_vol_pct<=30,87,0.14,0.0126,-0.94,27,0.2603,1.62,0.09,STATISTICALLY_USELESS,False,0.8889873567299609,1831,0.04595883534136547,False
NYSE_OPEN,30,1.0,short,atr_20_pct>=60,293,-0.13,-0.0061,-0.72,88,0.0725,0.77,0.08,STATISTICALLY_USELESS,False,0.8966559343315897,1832,0.04598393574297189,False
COMEX_SETTLE,15,2.0,long,atr_20_pct>=75,249,-0.13,-0.009,0.09,75,-0.0473,-0.35,0.05,STATISTICALLY_USELESS,False,0.8966718065442892,1833,0.04600903614457832,False
