inst,sess,apt,rr,dir,n_on,n_off,expr_on,expr_off,delta
MNQ,US_DATA_1000,5,2.0,long,190,521,0.08269368421052638,-0.035433781190019206,0.11812746540054558
MNQ,US_DATA_1000,5,2.0,short,178,489,0.2563438202247192,0.1853361963190184,0.07100762390570078
MNQ,US_DATA_1000,15,1.0,long,186,529,0.052129569892473124,0.027882041587901713,0.02424752830457141
MNQ,US_DATA_1000,15,1.0,short,170,453,0.17594470588235295,0.11665298013245033,0.059291725749902616
MNQ,US_DATA_1000,15,1.5,long,177,489,0.04961073446327684,0.0142932515337423,0.03531748292953454
MNQ,US_DATA_1000,15,1.5,short,164,423,0.2242475609756098,0.11839787234042551,0.10584968863518429
MNQ,US_DATA_1000,15,2.0,long,163,437,0.024759509202453966,-0.0855338672768879,0.11029337647934187
MNQ,US_DATA_1000,15,2.0,short,157,392,0.21608789808917203,0.07891709183673472,0.13717080625243733
MNQ,US_DATA_1000,30,1.0,long,152,438,0.06088421052631579,0.09807214611872148,-0.037187935592405685
MNQ,US_DATA_1000,30,1.0,short,162,403,0.08328148148148151,0.11430024813895782,-0.031018766657476313
MNQ,US_DATA_1000,30,1.5,long,129,366,0.008627906976744183,0.029393169398907106,-0.020765262422162922
MNQ,US_DATA_1000,30,1.5,short,144,348,0.09457013888888886,0.09984080459770117,-0.005270665708812308
MNQ,US_DATA_1000,30,2.0,long,104,308,-0.2922230769230769,-0.1317987012987013,-0.16042437562437561
MNQ,US_DATA_1000,30,2.0,short,120,308,-0.09034666666666666,-0.01313733766233764,-0.07720932900432902
MNQ,COMEX_SETTLE,5,1.0,long,198,544,0.24657525252525253,0.01455404411764706,0.23202120840760548
MNQ,COMEX_SETTLE,5,1.0,short,170,477,0.141654705882353,0.054631027253668786,0.08702367862868421
MNQ,COMEX_SETTLE,5,1.5,long,195,540,0.25438564102564104,0.056165555555555566,0.19822008547008546
MNQ,COMEX_SETTLE,5,1.5,short,169,472,0.227412426035503,0.04398855932203392,0.18342386671346908
MNQ,COMEX_SETTLE,5,2.0,long,193,532,0.31608186528497406,0.06172443609022557,0.25435742919474846
MNQ,COMEX_SETTLE,5,2.0,short,168,467,0.07988928571428569,-0.0036518201284796974,0.08354110584276539
MNQ,COMEX_SETTLE,15,1.0,long,196,491,0.0626520408163265,0.09710936863543787,-0.03445732781911137
MNQ,COMEX_SETTLE,15,1.0,short,156,479,-0.02095641025641026,0.10298246346555323,-0.1239388737219635
MNQ,COMEX_SETTLE,15,1.5,long,182,461,-0.03373241758241757,0.0721583514099783,-0.10589076899239587
MNQ,COMEX_SETTLE,15,1.5,short,146,462,0.040882191780821926,0.06580411255411257,-0.024921920773290647
MNQ,COMEX_SETTLE,15,2.0,long,171,426,-0.10561403508771931,0.01246854460093898,-0.11808257968865829
MNQ,COMEX_SETTLE,15,2.0,short,142,435,0.07997464788732399,-0.032383218390804595,0.11235786627812858
MNQ,COMEX_SETTLE,30,1.0,long,162,424,-0.015647530864197512,0.18501957547169814,-0.20066710633589566
MNQ,COMEX_SETTLE,30,1.0,short,134,430,0.04594402985074628,0.04156581395348839,0.004378215897257891
MNQ,COMEX_SETTLE,30,1.5,long,146,351,-0.21867054794520546,0.07363048433048433,-0.2923010322756898
MNQ,COMEX_SETTLE,30,1.5,short,123,381,0.047209756097560965,-0.021248293963254606,0.06845805006081557
MNQ,COMEX_SETTLE,30,2.0,long,133,303,-0.2797067669172933,-0.022383498349834982,-0.2573232685674583
MNQ,COMEX_SETTLE,30,2.0,short,113,347,0.00365929203539823,-0.05260403458213254,0.056263326617530765
MNQ,CME_PRECLOSE,5,1.0,long,148,479,0.2582790540540541,0.1185008350730689,0.1397782189809852
MNQ,CME_PRECLOSE,5,1.0,short,169,416,0.23631538461538457,0.0635923076923077,0.17272307692307687
MNQ,CME_PRECLOSE,5,1.5,long,126,427,0.2572563492063493,0.11365128805620608,0.14360506115014324
MNQ,CME_PRECLOSE,5,1.5,short,148,377,0.1589094594594595,0.04554827586206897,0.11336118359739053
MNQ,CME_PRECLOSE,5,2.0,long,113,385,0.35452123893805315,0.09249740259740262,0.2620238363406505
MNQ,CME_PRECLOSE,5,2.0,short,130,328,0.07917307692307696,-0.06423140243902442,0.14340447936210138
MNQ,CME_PRECLOSE,15,1.0,short,31,77,0.37783870967741934,0.24060779220779221,0.13723091746962712
MNQ,NYSE_CLOSE,5,1.0,long,91,246,0.03684505494505493,0.1377691056910569,-0.10092405074600197
MNQ,NYSE_CLOSE,5,1.0,short,88,230,0.19363636363636363,-0.019874347826086946,0.21351071146245057
MNQ,NYSE_CLOSE,5,1.5,long,65,180,-0.20882769230769233,0.06231722222222225,-0.27114491452991457
MNQ,NYSE_CLOSE,5,1.5,short,72,184,0.20105000000000006,-0.12911141304347823,0.3301614130434783
MNQ,NYSE_CLOSE,5,2.0,long,54,152,-0.4802925925925926,-0.03141250000000002,-0.4488800925925926
MNQ,NYSE_CLOSE,5,2.0,short,62,158,0.12371935483870969,-0.33061772151898733,0.45433707635769705
MNQ,NYSE_CLOSE,15,1.0,long,30,109,0.13684333333333332,0.21258990825688073,-0.07574657492354742
MNQ,NYSE_CLOSE,15,1.0,short,41,91,0.12127804878048781,-0.0808043956043956,0.20208244438488343
MNQ,NYSE_CLOSE,15,1.5,short,30,71,0.04032666666666666,-0.1881746478873239,0.2285013145539906
MNQ,BRISBANE_1025,5,1.0,long,206,554,-0.01179611650485436,-0.056321480144404336,0.044525363639549974
MNQ,BRISBANE_1025,5,1.0,short,175,512,-0.04390571428571428,-0.022985937500000008,-0.02091977678571427
MNQ,BRISBANE_1025,5,1.5,long,206,553,-0.011417475728155333,-0.0634341772151899,0.05201670148703457
MNQ,BRISBANE_1025,5,1.5,short,175,512,0.022844000000000007,-0.032155468750000006,0.054999468750000016
MNQ,BRISBANE_1025,5,2.0,long,206,553,0.0936611650485437,-0.060098191681735996,0.15375935673027968
MNQ,BRISBANE_1025,5,2.0,short,175,512,0.04535771428571427,-0.001285742187500001,0.04664345647321427
MNQ,BRISBANE_1025,15,1.0,long,209,559,0.09409330143540669,0.0045128801431126905,0.089580421292294
MNQ,BRISBANE_1025,15,1.0,short,172,507,0.08760116279069768,-0.05229487179487177,0.13989603458556946
MNQ,BRISBANE_1025,15,1.5,long,209,558,0.07648181818181818,-0.05540806451612902,0.1318898826979472
MNQ,BRISBANE_1025,15,1.5,short,172,507,0.08859360465116277,-0.06136390532544377,0.14995750997660653
MNQ,BRISBANE_1025,15,2.0,long,209,558,0.06779186602870813,0.012888709677419374,0.05490315635128875
MNQ,BRISBANE_1025,15,2.0,short,172,507,0.04748255813953485,-0.03561538461538463,0.08309794275491948
MNQ,BRISBANE_1025,30,1.0,long,203,568,0.13846945812807882,-0.01845757042253522,0.15692702855061402
MNQ,BRISBANE_1025,30,1.0,short,175,497,-0.0385097142857143,-0.08803219315895376,0.04952247887323946
MNQ,BRISBANE_1025,30,1.5,long,203,566,0.16786059113300494,-0.06905159010600706,0.236912181239012
MNQ,BRISBANE_1025,30,1.5,short,175,497,0.013189714285714282,-0.07104144869215291,0.08423116297786719
