trading_day,pnl_r,pnl_r0,outcome,is_is,is_oos,is_scratch,orb_US_DATA_1000_break_dir,orb_US_DATA_1000_size,o5_open,o5_close,o5_high,o5_low,o5_size,o5_volume,o5_clv,feature_fire,lane_fire
2020-03-27,-1.0,-1.0,loss,True,False,0,short,52.5,7634.25,7631.0,7639.0,7608.25,30.75,7831.0,0.7398373983739838,0,1
2020-03-30,1.4449,1.4449,win,True,False,0,long,64.5,7687.0,7725.25,7726.75,7674.75,52.0,9102.0,0.9711538461538461,1,1
2020-03-31,-1.0,-1.0,loss,True,False,0,long,119.25,7822.5,7856.0,7861.5,7820.75,40.75,7478.0,0.8650306748466258,1,1
2020-04-06,1.3971,1.3971,win,True,False,0,long,33.75,7851.25,7841.5,7864.5,7840.75,23.75,6216.0,0.031578947368421054,0,1
2020-04-08,1.4262,1.4262,win,True,False,0,long,47.75,8071.75,8068.75,8092.5,8068.75,23.75,5026.0,0.0,0,1
2020-04-14,-1.0,-1.0,loss,True,False,0,long,24.75,8589.75,8573.0,8592.5,8570.25,22.25,5990.0,0.12359550561797752,0,1
2020-04-17,1.4206,1.4206,win,True,False,0,short,44.25,8822.75,8827.5,8834.75,8812.5,22.25,5033.0,0.6741573033707865,0,1
2020-04-21,1.4227,1.4227,win,True,False,0,short,45.5,8583.5,8579.25,8590.0,8555.0,35.0,8445.0,0.6928571428571428,0,1
2020-04-22,1.413,1.413,win,True,False,0,long,40.25,8574.25,8552.75,8585.75,8552.0,33.75,6766.0,0.022222222222222223,0,1
2020-04-23,-1.0,-1.0,loss,True,False,0,long,32.5,8722.75,8723.0,8736.0,8709.25,26.75,5986.0,0.514018691588785,0,1
2020-04-24,1.4243,1.4243,win,True,False,0,long,46.5,8588.75,8596.5,8608.25,8587.5,20.75,6634.0,0.43373493975903615,0,1
2020-04-28,1.3867,1.3867,win,True,False,0,short,30.5,8829.75,8824.25,8839.0,8808.5,30.5,10694.0,0.5163934426229508,0,1
2020-04-29,1.3849,1.3849,win,True,False,0,long,30.0,8893.5,8882.0,8896.5,8874.0,22.5,7495.0,0.35555555555555557,0,1
2020-04-30,1.3985,1.3985,win,True,False,0,short,34.25,8996.75,8984.25,9007.25,8979.75,27.5,9541.0,0.16363636363636364,1,1
2020-05-04,-1.0,-1.0,loss,True,False,0,long,42.5,8718.0,8746.0,8751.75,8713.5,38.25,9344.0,0.8496732026143791,1,1
2020-05-05,1.3893,1.3893,win,True,False,0,long,31.25,8956.75,8963.5,8972.25,8954.25,18.0,6204.0,0.5138888888888888,0,1
2020-05-11,1.4197,1.4197,win,True,False,0,long,43.75,9204.25,9235.75,9236.25,9202.25,34.0,9160.0,0.9852941176470589,1,1
2020-05-13,-1.0,-1.0,loss,True,False,0,long,55.0,9113.25,9151.75,9154.0,9109.0,45.0,12577.0,0.95,1,1
2020-05-14,-1.0,-1.0,loss,True,False,0,short,61.0,8872.75,8877.5,8883.5,8859.5,24.0,11999.0,0.75,0,1
2020-05-18,1.3683,1.3683,win,True,False,0,long,26.0,9261.25,9272.0,9274.75,9252.75,22.0,7920.0,0.875,1,1
2020-05-21,1.4311,1.4311,win,True,False,0,short,51.25,9475.5,9439.75,9481.5,9439.25,42.25,11028.0,0.011834319526627219,1,1
2020-05-25,-1.0,-1.0,loss,True,False,0,long,8.5,9523.5,9519.75,9525.0,9516.5,8.5,1052.0,0.38235294117647056,0,1
2020-05-27,-1.0,-1.0,loss,True,False,0,short,59.75,9287.25,9274.5,9292.0,9262.5,29.5,12065.0,0.4067796610169492,0,1
2020-05-28,-1.0,-1.0,loss,True,False,0,long,64.75,9430.0,9437.0,9445.0,9408.25,36.75,10093.0,0.782312925170068,1,1
2020-05-29,-1.0,-1.0,loss,True,False,0,short,74.5,9458.0,9451.0,9459.0,9444.0,15.0,6487.0,0.4666666666666667,0,1
2020-06-04,-1.0,-1.0,loss,True,False,0,long,21.5,9724.25,9716.5,9727.5,9713.25,14.25,8304.0,0.22807017543859648,0,1
2020-06-19,-1.0,-1.0,loss,True,False,0,long,26.75,10087.25,10089.0,10091.75,10078.75,13.0,4881.0,0.7884615384615384,1,1
2020-06-22,-1.0,-1.0,loss,True,False,0,long,32.25,10020.75,10038.0,10043.5,10018.25,25.25,7365.0,0.7821782178217822,1,1
2020-06-23,1.4012,1.4012,win,True,False,0,long,35.25,10184.25,10182.0,10194.5,10177.25,17.25,5235.0,0.2753623188405797,0,1
2020-06-26,1.4467,1.4467,win,True,False,0,short,66.75,10018.5,9985.0,10018.5,9978.75,39.75,10894.0,0.15723270440251572,1,1
2020-07-01,1.4284,1.4284,win,True,False,0,long,49.25,10150.0,10163.5,10173.0,10141.25,31.75,8749.0,0.7007874015748031,0,1
2020-07-03,1.0107,1.0107,win,True,False,0,short,5.75,10353.5,10351.5,10354.25,10349.25,5.0,1172.0,0.45,0,1
2020-07-06,1.3917,1.3917,win,True,False,0,long,32.0,10519.25,10540.0,10543.0,10519.25,23.75,8420.0,0.8736842105263158,1,1
2020-07-07,-1.0,-1.0,loss,True,False,0,long,51.75,10607.5,10619.0,10621.75,10598.75,23.0,7500.0,0.8804347826086957,1,1
2020-07-13,-1.0,-1.0,loss,True,False,0,long,47.75,10964.5,10965.5,10975.5,10943.5,32.0,10051.0,0.6875,0,1
2020-07-17,-1.0,-1.0,loss,True,False,0,short,36.5,10603.5,10588.5,10610.75,10577.75,33.0,12851.0,0.32575757575757575,0,1
2020-07-20,1.4418,1.4418,win,True,False,0,long,61.0,10682.5,10696.75,10699.0,10670.5,28.5,12305.0,0.9210526315789473,1,1
2020-07-21,1.4409,1.4409,win,True,False,0,short,60.0,10943.25,10953.75,10954.0,10922.75,31.25,14451.0,0.992,0,1
2020-07-23,1.4523,1.4523,win,True,False,0,short,74.75,10843.75,10829.0,10855.5,10823.0,32.5,11999.0,0.18461538461538463,1,1
2020-07-29,-1.0,-1.0,loss,True,False,0,long,35.25,10599.75,10625.75,10630.0,10596.75,33.25,9791.0,0.8721804511278195,1,1
2020-07-31,-1.0,-1.0,loss,True,False,0,short,82.0,10824.5,10792.25,10827.0,10774.25,52.75,16438.0,0.3412322274881517,0,1
2020-08-06,-1.0,-1.0,loss,True,False,0,long,31.25,11117.75,11113.25,11121.75,11108.0,13.75,6758.0,0.38181818181818183,0,1
2020-08-10,1.3884,1.3884,win,True,False,0,short,31.0,11081.0,11066.0,11086.75,11060.5,26.25,12491.0,0.20952380952380953,1,1
2020-08-12,1.3492,1.3492,win,True,False,0,long,22.5,11061.0,11058.25,11069.5,11052.0,17.5,8940.0,0.35714285714285715,0,1
2020-08-18,-1.0,-1.0,loss,True,False,0,short,55.0,11341.75,11343.25,11347.5,11336.5,11.0,6887.0,0.6136363636363636,0,1
2020-08-21,1.3941,1.3941,win,True,False,0,long,32.75,11494.75,11479.25,11500.5,11474.0,26.5,7594.0,0.19811320754716982,0,1
2020-08-26,1.3594,1.3594,win,True,False,0,long,24.25,11786.25,11779.75,11795.5,11771.25,24.25,10222.0,0.35051546391752575,0,1
2020-09-01,1.433,1.433,win,True,False,0,long,52.75,12198.5,12229.5,12239.75,12190.25,49.5,15480.0,0.7929292929292929,1,1
2020-09-03,1.456,1.456,win,True,False,0,short,81.25,12176.25,12197.25,12208.25,12169.75,38.5,16048.0,0.7142857142857143,0,1
2020-09-04,1.4758,1.4758,win,True,False,0,short,149.25,11539.75,11585.75,11612.0,11520.25,91.75,15750.0,0.7138964577656676,0,1
2020-09-07,1.3909,1.3909,win,True,False,0,long,31.75,11460.5,11455.5,11466.75,11452.0,14.75,2168.0,0.23728813559322035,0,1
2020-09-09,1.4491,1.4491,win,True,False,0,long,70.0,11260.25,11282.25,11300.25,11256.75,43.5,19107.0,0.5862068965517241,0,1
2020-09-14,-1.0,-1.0,loss,True,False,0,long,58.5,11286.25,11306.75,11310.0,11268.25,41.75,5744.0,0.9221556886227545,1,1
2020-09-16,1.3985,1.3985,win,True,False,0,short,34.25,11446.0,11437.5,11456.25,11431.25,25.0,6764.0,0.25,1,1
2020-09-21,-1.0,-1.0,loss,True,False,0,short,89.25,10805.25,10762.25,10821.75,10743.75,78.0,17360.0,0.23717948717948717,1,1
2020-09-22,-1.0,-1.0,loss,True,False,0,long,54.0,11006.5,11022.5,11025.75,11000.0,25.75,12810.0,0.8737864077669902,1,1
