orb_label,rr_target,direction,signal,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,winrate_on_is,winrate_off_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is,priority_rank
CME_PRECLOSE,1.0,short,F1_NEAR_PDH_15__AND__F4_ABOVE_PDH,44,665,0.1569931818181818,0.05487007518796992,0.10212310663021189,0.6363636363636364,0.5729323308270676,0.7377224936606488,0.4641849991791038,3,32,0.21373333333333333,-0.180759375,0.39449270833333333,True,TAKE,0.7788059378958448,0.10212310663021189,10024
NYSE_OPEN,1.5,short,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,103,716,0.019598058252427202,0.11758142458100558,-0.09798336632857838,0.42718446601941745,0.46368715083798884,-0.7811094482362309,0.43611769406496004,7,33,-0.29542857142857143,0.041145454545454534,-0.33657402597402597,True,AVOID,0.7687498336060313,0.09798336632857838,10021
NYSE_OPEN,1.5,short,F3_NEAR_PIVOT_15,223,596,0.0408269058295964,0.12936661073825503,-0.08853970490865863,0.4349775784753363,0.46812080536912754,-0.9445093279306528,0.34547599012810365,9,31,-0.18872222222222224,0.03188064516129033,-0.22060286738351256,True,AVOID,0.7338357211376522,0.08853970490865863,10016
US_DATA_1000,1.5,short,F3_NEAR_PIVOT_15__AND__F6_INSIDE_PDR,202,605,0.1897920792079208,0.1037986776859504,0.0859934015219704,0.504950495049505,0.46611570247933887,0.8932530400847722,0.372344917949642,6,27,0.6360833333333332,-0.19266666666666665,0.8287499999999999,True,TAKE,0.7338357211376522,0.0859934015219704,10013
NYSE_OPEN,1.5,short,F3_NEAR_PIVOT_15__AND__F6_INSIDE_PDR,212,607,0.04156650943396226,0.1275037891268534,-0.08593727969289114,0.4339622641509434,0.46787479406919275,-0.900630625668074,0.3683690253817635,9,31,-0.18872222222222224,0.03188064516129033,-0.22060286738351256,True,AVOID,0.7338357211376522,0.08593727969289114,10013
US_DATA_1000,1.5,short,F5_BELOW_PDL,154,653,0.056611038961038945,0.14152848392036754,-0.0849174449593286,0.44155844155844154,0.48392036753445633,-0.7954198830486159,0.42719274542640395,5,28,-0.50624,0.04091785714285715,-0.5471578571428571,True,AVOID,0.7660007849025174,0.0849174449593286,10008
NYSE_OPEN,1.5,long,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,102,728,0.009155882352941182,0.09422774725274727,-0.08507186489980609,0.4215686274509804,0.45467032967032966,-0.6761900585367826,0.5001072420111122,2,26,0.21585,0.232,-0.016150000000000025,True,AVOID,0.8126742682680573,0.08507186489980609,10004
US_DATA_1000,1.5,short,F3_NEAR_PIVOT_15,213,594,0.18357605633802818,0.1044351851851852,0.07914087115284298,0.5023474178403756,0.4663299663299663,0.8366053131291834,0.4033485472917411,6,27,0.6360833333333332,-0.19266666666666665,0.8287499999999999,True,TAKE,0.7479972606490053,0.07914087115284298,10004
CME_PRECLOSE,1.0,long,F2_NEAR_PDL_15__AND__F6_INSIDE_PDR,57,686,0.06065614035087718,0.14102026239067056,-0.08036412203979337,0.5789473684210527,0.6239067055393586,-0.638414774208028,0.5254426615630876,1,30,-1.0,0.0685,-1.0685,True,AVOID,0.8407082585009402,0.08036412203979337,9996
US_DATA_1000,1.0,long,F1_NEAR_PDH_15,175,706,0.09298057142857143,0.027940793201133154,0.06503977822743827,0.5828571428571429,0.5410764872521246,0.8252418194680475,0.4099600370864741,3,32,0.2866666666666667,-0.08503749999999999,0.37170416666666667,True,TAKE,0.7479972606490053,0.06503977822743827,9990
NYSE_OPEN,1.5,long,F2_NEAR_PDL_15__AND__F5_BELOW_PDL,50,780,0.020048000000000003,0.0878580769230769,-0.06781007692307689,0.42,0.45256410256410257,-0.3840580382232732,0.7024075480687619,1,27,-1.0,0.27643333333333336,-1.2764333333333333,True,AVOID,0.8902548980451566,0.06781007692307689,9979
CME_PRECLOSE,1.0,short,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,57,652,0.0009473684210526187,0.06647592024539879,-0.06552855182434618,0.543859649122807,0.5797546012269938,-0.5123562421667623,0.6101167547756128,4,31,-0.5401,-0.09621612903225805,-0.44388387096774196,True,AVOID,0.8902548980451566,0.06552855182434618,9977
NYSE_OPEN,1.5,long,F1_NEAR_PDH_15__AND__F3_NEAR_PIVOT_50,152,678,0.03575328947368421,0.09453864306784661,-0.0587853535941624,0.4342105263157895,0.45427728613569324,-0.5505099739438476,0.582514334675525,2,26,0.21585,0.232,-0.016150000000000025,True,AVOID,0.880137567996006,0.0587853535941624,9971
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_50__AND__F4_ABOVE_PDH,86,795,-0.010467441860465108,0.04641257861635221,-0.05688002047681732,0.5348837209302325,0.5509433962264151,-0.5370064138494886,0.5924002861511579,2,33,-1.0,0.0042060606060606,-1.0042060606060605,True,AVOID,0.880137567996006,0.05688002047681732,9969
NYSE_OPEN,1.5,short,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_50,104,715,0.056400961538461525,0.11236531468531469,-0.05596435314685316,0.4423076923076923,0.46153846153846156,-0.44640477832660425,0.6560189741558533,3,37,-0.1802,-0.004583783783783783,-0.1756162162162162,True,AVOID,0.8902548980451566,0.05596435314685316,9967
US_DATA_1000,1.0,long,F1_NEAR_PDH_15__AND__F3_NEAR_PIVOT_50,143,738,0.08413286713286712,0.03247533875338754,0.05165752837947958,0.5804195804195804,0.5433604336043361,0.6073679188506398,0.5442829266835246,3,32,0.2866666666666667,-0.08503749999999999,0.37170416666666667,True,TAKE,0.8576579450770692,0.05165752837947958,9966
NYSE_OPEN,1.5,long,F5_BELOW_PDL,121,709,0.12459421487603305,0.07680648801128351,0.04778772686474954,0.4628099173553719,0.44851904090267986,0.4002413512057915,0.6895058838150208,2,26,0.23199999999999998,0.23075769230769233,0.0012423076923076537,True,TAKE,0.8902548980451566,0.04778772686474954,9959
US_DATA_1000,1.5,short,F4_ABOVE_PDH,200,607,0.15956399999999998,0.11404184514003295,0.04552215485996704,0.495,0.4695222405271829,0.47353801717426075,0.6361311199539232,9,24,0.33288888888888885,-0.1825625,0.5154513888888889,True,TAKE,0.8902548980451566,0.04552215485996704,9957
US_DATA_1000,1.0,long,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_50,95,786,0.07952842105263157,0.036186513994910935,0.04334190705772063,0.5684210526315789,0.5470737913486005,0.4212810622173986,0.6743177796643277,2,33,0.9697,-0.11516969696969695,1.084869696969697,True,TAKE,0.8902548980451566,0.04334190705772063,9954
NYSE_OPEN,1.5,short,F1_NEAR_PDH_15__AND__F3_NEAR_PIVOT_50,158,661,0.07223607594936708,0.11315219364599093,-0.040916117696623844,0.44936708860759494,0.46142208774583965,-0.38678114194628194,0.6992619589725146,4,36,-0.3841,0.02295,-0.40705,True,AVOID,0.8902548980451566,0.040916117696623844,9952
US_DATA_1000,1.0,long,F4_ABOVE_PDH,231,650,0.06467272727272727,0.03239753846153846,0.032275188811188814,0.5670995670995671,0.5430769230769231,0.4490238348817643,0.6536517299583365,7,28,0.10635714285714286,-0.09306071428571427,0.19941785714285715,True,TAKE,0.8902548980451566,0.032275188811188814,9943
CME_PRECLOSE,1.0,long,F3_NEAR_PIVOT_50,373,370,0.12066219839142091,0.14916297297297296,-0.02850077458155205,0.6166219839142091,0.6243243243243243,-0.4353448567821199,0.6634389397071915,18,13,-0.055577777777777775,0.15810769230769234,-0.21368547008547012,True,AVOID,0.8902548980451566,0.02850077458155205,9940
