trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,orb_mid,pivot_val,break_dir
2022-07-15,0.9533,0.9533,win,0,True,False,2022,1,11771.375,11729.083333333334,long
2022-07-18,-1.0,-1.0,loss,0,True,False,2022,1,12113.0,12055.0,long
2022-07-19,0.8396,0.8396,win,0,True,False,2022,1,11992.75,11989.333333333334,long
2022-07-21,0.9215,0.9215,win,0,True,False,2022,1,12497.25,12391.75,long
2022-07-26,-1.0,-1.0,loss,0,True,False,2022,1,12304.75,12358.0,long
2022-07-27,0.8842,0.8842,win,0,True,False,2022,1,12276.75,12217.833333333334,long
2022-07-28,0.9603,0.9603,win,0,True,False,2022,1,12532.125,12504.0,long
2022-08-04,-1.0,-1.0,loss,0,True,False,2022,0,13294.125,13140.5,long
2022-08-10,,0.0,scratch,1,True,False,2022,0,13228.125,13080.75,long
2022-08-11,-1.0,-1.0,loss,0,True,False,2022,0,13481.875,13255.416666666666,long
2022-08-12,-1.0,-1.0,loss,0,True,False,2022,1,13384.625,13396.5,long
2022-08-17,-1.0,-1.0,loss,0,True,False,2022,1,13520.625,13636.416666666666,long
2022-08-19,0.7452,0.7452,win,0,True,False,2022,1,13372.125,13503.833333333334,long
2022-08-22,-1.0,-1.0,loss,0,True,False,2022,0,13068.875,13200.916666666666,long
2022-08-26,-1.0,-1.0,loss,0,True,False,2022,1,13126.75,13083.083333333334,long
2022-08-29,-1.0,-1.0,loss,0,True,False,2022,1,12502.875,12487.166666666666,long
2022-09-02,-1.0,-1.0,loss,0,True,False,2022,1,12326.25,12209.916666666666,long
2022-09-05,0.6648,0.6648,win,0,True,False,2022,1,12072.0,12084.416666666666,long
2022-09-06,0.7609,0.7609,win,0,True,False,2022,1,12161.75,12136.333333333334,long
2022-09-07,0.846,0.846,win,0,True,False,2022,1,11998.375,12064.916666666666,long
2022-09-09,-1.0,-1.0,loss,0,True,False,2022,0,12450.875,12278.5,long
2022-09-12,0.817,0.817,win,0,True,False,2022,1,12698.375,12645.0,long
2022-09-14,-1.0,-1.0,loss,0,True,False,2022,0,12134.75,12401.416666666666,long
2022-09-15,-1.0,-1.0,loss,0,True,False,2022,1,12167.0,12202.833333333334,long
2022-09-16,-1.0,-1.0,loss,0,True,False,2022,0,11859.875,12027.75,long
2022-09-19,0.7703,0.7703,win,0,True,False,2022,1,11831.25,11910.0,long
2022-09-20,0.8253,0.8253,win,0,True,False,2022,1,11925.75,11970.083333333334,long
2022-09-22,0.9236,0.9236,win,0,True,False,2022,1,11680.75,11793.666666666666,long
2022-09-26,0.9,0.9,win,0,True,False,2022,1,11324.0,11353.083333333334,long
2022-09-27,-1.0,-1.0,loss,0,True,False,2022,1,11496.625,11372.833333333334,long
2022-09-28,0.9291,0.9291,win,0,True,False,2022,1,11278.25,11389.333333333334,long
2022-10-03,0.9205,0.9205,win,0,True,False,2022,1,11081.0,11015.666666666666,long
2022-10-10,0.848,0.848,win,0,True,False,2022,1,11072.25,11017.75,long
2022-10-14,0.9578,0.9578,win,0,True,False,2022,0,11071.0,10900.25,long
2022-10-17,0.9057,0.9057,win,0,True,False,2022,1,10910.375,10766.25,long
