trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2021-04-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-09 06:00:00+10:00,0.883,win
2021-04-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-13 00:06:00+10:00,-1.0,loss
2021-04-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-14 04:32:00+10:00,0.8842,win
2021-04-19,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-05-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-04 00:05:00+10:00,0.9182,win
2021-05-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-05 00:08:00+10:00,-1.0,loss
2021-05-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-07 00:36:00+10:00,0.9221,win
2021-05-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-08 00:05:00+10:00,0.941,win
2021-05-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-11 00:11:00+10:00,-1.0,loss
2021-05-11,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-12 01:22:00+10:00,0.9251,win
2021-05-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-15 00:11:00+10:00,0.8439,win
2021-05-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-18 00:18:00+10:00,-1.0,loss
2021-05-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-20 00:19:00+10:00,0.9507,win
2021-05-20,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-21 00:05:00+10:00,0.9107,win
2021-05-21,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-05-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-25 00:05:00+10:00,0.8396,win
2021-05-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-05-28 00:09:00+10:00,0.9093,win
2021-05-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-01 01:59:00+10:00,-1.0,loss
2021-06-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-04 00:05:00+10:00,0.9127,win
2021-06-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-05 00:16:00+10:00,0.3045,scratch
2021-06-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-08 02:10:00+10:00,0.8937,win
2021-06-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-11 05:54:00+10:00,0.8396,win
2021-06-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-15 01:17:00+10:00,0.9182,win
2021-06-23,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-06-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-25 00:05:00+10:00,0.8111,win
2021-06-28,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-06-29 00:08:00+10:00,0.8253,win
2021-07-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-03 01:44:00+10:00,0.848,win
2021-07-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-06 00:07:00+10:00,-1.0,loss
2021-07-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-08 00:13:00+10:00,-1.0,loss
2021-07-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-07-09 00:05:00+10:00,-1.0,loss
