rank,strategy_id,state,primary_blocker,next_action,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,status_reason,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,active_in_profile
463,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_VOL_16K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.5,ORB_VOL_16K,1,0.3652,39,13.1,DEPLOY,"Session HOT (+0.0837), ExpR=+0.3652, N=39",MISSING,,,UNSPECIFIED,unknown,5,False
464,MNQ_US_DATA_1000_E2_RR1.0_CB1_VWAP_MID_ALIGNED,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,VWAP_MID_ALIGNED,1,0.1111,127,13.0,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1111, N=127",MISSING,,,UNSPECIFIED,unknown,5,False
465,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT08,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,COST_LT08,1,0.0563,251,13.0,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0563, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
466,MNQ_US_DATA_1000_E2_RR2.0_CB1_VWAP_MID_ALIGNED_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,2.0,VWAP_MID_ALIGNED,1,0.1274,109,12.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1274, N=109",MISSING,,,UNSPECIFIED,unknown,5,False
467,MNQ_US_DATA_1000_E2_RR1.0_CB1_CROSS_NYSE_MOMENTUM_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,CROSS_NYSE_MOMENTUM,1,0.0908,153,12.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0908, N=153",MISSING,,,UNSPECIFIED,unknown,5,False
468,MNQ_NYSE_OPEN_E1_RR1.0_CB1_X_MGC_ATR70_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,15,E1,1.0,X_MGC_ATR70,1,0.0794,148,12.8,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0794, N=148",MISSING,,,UNSPECIFIED,unknown,5,False
469,MNQ_US_DATA_1000_E2_RR1.0_CB1_ATR_P50_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ATR_P50,1,0.077,125,12.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0770, N=125",MISSING,,,UNSPECIFIED,unknown,5,False
470,MNQ_NYSE_OPEN_E2_RR1.0_CB1_X_MES_ATR70,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,X_MES_ATR70,1,0.0914,81,12.7,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0914, N=81",MISSING,,,UNSPECIFIED,unknown,5,False
471,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.0,ORB_VOL_8K,1,0.0591,232,12.7,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0591, N=232",MISSING,,,UNSPECIFIED,unknown,5,False
472,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT08_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.0,COST_LT08,1,0.059,234,12.7,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0590, N=234",MISSING,,,UNSPECIFIED,unknown,5,False
473,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT10_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.0,COST_LT10,1,0.059,234,12.7,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0590, N=234",MISSING,,,UNSPECIFIED,unknown,5,False
474,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_16K_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ORB_VOL_16K,1,0.0584,232,12.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0584, N=232",MISSING,,,UNSPECIFIED,unknown,5,False
475,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ORB_G4_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ORB_G4,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
476,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ORB_G5_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ORB_G5,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
477,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ORB_G6_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ORB_G6,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
478,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ORB_VOL_2K_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ORB_VOL_2K,1,0.0615,219,12.4,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0615, N=219",MISSING,,,UNSPECIFIED,unknown,5,False
