rank,strategy_id,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,family_median_exp_r,family_oos_median,active_in_profile,action
55,MNQ_US_DATA_1000_E2_RR1.0_CB1_ATR_P50_O15,MNQ,US_DATA_1000,15,E2,1.0,ATR_P50,1,0.2415,117,37.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
56,MNQ_US_DATA_1000_E2_RR1.0_CB1_X_MES_ATR60_O15_S075,MNQ,US_DATA_1000,15,E2,1.0,X_MES_ATR60,1,0.2169,101,37.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
57,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_OVNRNG_50,MNQ,EUROPE_FLOW,5,E2,2.0,OVNRNG_50,1,0.1625,250,37.5,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
58,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G4,MNQ,EUROPE_FLOW,5,E2,1.0,ORB_G4,1,0.155,259,37.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
59,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,5,E2,2.0,COST_LT12,1,0.1697,236,37.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
60,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G4,MNQ,EUROPE_FLOW,5,E2,2.0,ORB_G4,1,0.1542,259,36.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
61,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_COST_LT15,MNQ,EUROPE_FLOW,5,E2,1.0,COST_LT15,1,0.1568,253,36.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
62,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G5,MNQ,EUROPE_FLOW,5,E2,1.0,ORB_G5,1,0.1536,258,36.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
63,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G6,MNQ,EUROPE_FLOW,5,E2,1.0,ORB_G6,1,0.1536,258,36.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
64,MNQ_SINGAPORE_OPEN_E2_RR2.5_CB1_ORB_G8_O15,MNQ,SINGAPORE_OPEN,15,E2,2.5,ORB_G8,1,0.1558,253,36.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
65,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_ORB_G8,MNQ,EUROPE_FLOW,5,E2,1.0,ORB_G8,1,0.1544,255,36.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
66,MNQ_US_DATA_1000_E2_RR1.0_CB1_ATR_P70_O15,MNQ,US_DATA_1000,15,E2,1.0,ATR_P70,1,0.2487,85,36.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
67,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_NO_FILTER,MNQ,EUROPE_FLOW,5,E2,1.0,NO_FILTER,1,0.1505,260,36.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
68,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_NO_FILTER,MNQ,EUROPE_FLOW,5,E2,2.0,NO_FILTER,1,0.1498,260,36.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
69,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_OVNRNG_25,MNQ,EUROPE_FLOW,5,E2,2.0,OVNRNG_25,1,0.1498,260,36.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
70,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_DIR_LONG_O30,MNQ,SINGAPORE_OPEN,30,E2,3.0,DIR_LONG,1,0.2741,142,35.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
71,MNQ_SINGAPORE_OPEN_E2_RR2.5_CB1_COST_LT10_O15,MNQ,SINGAPORE_OPEN,15,E2,2.5,COST_LT10,1,0.1782,217,35.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
72,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT15,MNQ,EUROPE_FLOW,5,E2,2.0,COST_LT15,1,0.1529,253,35.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
73,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G6,MNQ,EUROPE_FLOW,5,E2,2.0,ORB_G6,1,0.1499,258,35.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
74,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_NO_FILTER,MNQ,COMEX_SETTLE,5,E2,1.5,NO_FILTER,1,0.1542,247,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
75,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G4,MNQ,COMEX_SETTLE,5,E2,1.5,ORB_G4,1,0.1542,247,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
76,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_ORB_G6,MNQ,COMEX_SETTLE,5,E2,1.5,ORB_G6,1,0.1542,247,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
77,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_10,MNQ,COMEX_SETTLE,5,E2,1.5,OVNRNG_10,1,0.1542,247,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
78,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_OVNRNG_25,MNQ,COMEX_SETTLE,5,E2,1.5,OVNRNG_25,1,0.1542,247,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
79,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_OVNRNG_50,MNQ,EUROPE_FLOW,5,E2,1.0,OVNRNG_50,1,0.1527,250,35.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
80,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ATR_VEL_GE105_S075,MNQ,TOKYO_OPEN,5,E2,1.5,ATR_VEL_GE105,1,0.4078,43,35.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
81,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_COST_LT10_O15,MNQ,SINGAPORE_OPEN,15,E2,3.0,COST_LT10,1,0.1762,216,35.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
82,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_COST_LT08_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,COST_LT08,1,0.1737,218,35.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
83,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_COST_LT12_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,COST_LT12,1,0.15,252,34.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
84,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_X_MES_ATR70_S075,MNQ,COMEX_SETTLE,5,E2,1.5,X_MES_ATR70,1,0.2633,77,34.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
85,MNQ_US_DATA_1000_E2_RR1.0_CB1_X_MES_ATR60_O30_S075,MNQ,US_DATA_1000,30,E2,1.0,X_MES_ATR60,1,0.2446,83,34.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
86,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ORB_VOL_4K_O15_S075,MNQ,TOKYO_OPEN,15,E2,1.5,ORB_VOL_4K,1,0.1613,234,34.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
87,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_COST_LT15_O15,MNQ,SINGAPORE_OPEN,15,E2,3.0,COST_LT15,1,0.1518,248,34.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
88,MNQ_SINGAPORE_OPEN_E2_RR2.5_CB1_DIR_LONG_O30,MNQ,SINGAPORE_OPEN,30,E2,2.5,DIR_LONG,1,0.2609,144,34.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
89,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,5,E2,1.0,COST_LT12,1,0.1591,236,34.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
90,MNQ_SINGAPORE_OPEN_E2_RR2.5_CB1_COST_LT15_O15,MNQ,SINGAPORE_OPEN,15,E2,2.5,COST_LT15,1,0.1505,249,34.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
91,MNQ_COMEX_SETTLE_E2_RR2.0_CB1_X_MES_ATR60,MNQ,COMEX_SETTLE,5,E2,2.0,X_MES_ATR60,1,0.202,99,34.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
92,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P50_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,1.5,ATR_P50,1,0.2058,124,34.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
93,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_X_MES_ATR60,MNQ,COMEX_SETTLE,5,E2,1.5,X_MES_ATR60,1,0.1958,101,33.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
94,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_COST_LT12,MNQ,COMEX_SETTLE,5,E2,1.5,COST_LT12,1,0.1603,229,33.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
95,MNQ_EUROPE_FLOW_E2_RR3.0_CB1_COST_LT12,MNQ,EUROPE_FLOW,5,E2,3.0,COST_LT12,1,0.1562,235,33.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
96,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P70_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,1.5,ATR_P70,1,0.2187,89,33.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
97,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_X_MES_ATR60_S075,MNQ,COMEX_SETTLE,5,E2,1.5,X_MES_ATR60,1,0.1927,101,33.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
98,MNQ_COMEX_SETTLE_E2_RR2.5_CB1_X_MES_ATR70,MNQ,COMEX_SETTLE,5,E2,2.5,X_MES_ATR70,1,0.2556,76,33.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
99,MNQ_US_DATA_1000_E2_RR1.0_CB1_X_MES_ATR60_O30,MNQ,US_DATA_1000,30,E2,1.0,X_MES_ATR60,1,0.2338,83,33.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
100,MNQ_COMEX_SETTLE_E2_RR2.0_CB1_NO_FILTER,MNQ,COMEX_SETTLE,5,E2,2.0,NO_FILTER,1,0.1498,241,33.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
