instrument,session,dst_regime,g_filter,stack_level,stack_label,n,freq_per_year,avg_r,conviction_score,sizing_tier,sample_class
MNQ,0030,summer,G4,L2,size+conc,258,1.000000,0.210503,5.248000,3x,CORE
MNQ,0030,summer,G4,L3,size+dir+conc,258,1.000000,0.210503,5.248000,3x,CORE
MNQ,0030,summer,G4,L4,size+dir+conc+vol,138,0.600000,0.252743,6.301000,3x,PRELIMINARY
MNQ,0030,summer,G4,L5,size+dir+conc+vol+cal,124,0.500000,0.185198,4.617000,3x,PRELIMINARY
MNQ,0030,summer,G5,L0,size,314,1.300000,0.040109,1.000000,1x,CORE
MNQ,0030,summer,G5,L1,size+dir,314,1.300000,0.040109,1.000000,1x,CORE
MNQ,0030,summer,G5,L2,size+conc,258,1.000000,0.210503,5.248000,3x,CORE
MNQ,0030,summer,G5,L3,size+dir+conc,258,1.000000,0.210503,5.248000,3x,CORE
MNQ,0030,summer,G5,L4,size+dir+conc+vol,138,0.600000,0.252743,6.301000,3x,PRELIMINARY
MNQ,0030,summer,G5,L5,size+dir+conc+vol+cal,124,0.500000,0.185198,4.617000,3x,PRELIMINARY
MNQ,0030,summer,G6,L0,size,313,1.300000,0.043432,1.000000,1x,CORE
MNQ,0030,summer,G6,L1,size+dir,313,1.300000,0.043432,1.000000,1x,CORE
MNQ,0030,summer,G6,L2,size+conc,257,1.000000,0.215213,4.955000,3x,CORE
MNQ,0030,summer,G6,L3,size+dir+conc,257,1.000000,0.215213,4.955000,3x,CORE
MNQ,0030,summer,G6,L4,size+dir+conc+vol,138,0.600000,0.252743,5.819000,3x,PRELIMINARY
MNQ,0030,summer,G6,L5,size+dir+conc+vol+cal,124,0.500000,0.185198,4.264000,3x,PRELIMINARY
MNQ,0030,summer,G8,L0,size,312,1.200000,0.046777,1.000000,1x,CORE
MNQ,0030,summer,G8,L1,size+dir,312,1.200000,0.046777,1.000000,1x,CORE
MNQ,0030,summer,G8,L2,size+conc,256,1.000000,0.219960,4.702000,3x,CORE
MNQ,0030,summer,G8,L3,size+dir+conc,256,1.000000,0.219960,4.702000,3x,CORE
MNQ,0030,summer,G8,L4,size+dir+conc+vol,138,0.600000,0.252743,5.403000,3x,PRELIMINARY
MNQ,0030,summer,G8,L5,size+dir+conc+vol+cal,124,0.500000,0.185198,3.959000,3x,PRELIMINARY
