instrument,session,dst_regime,hold_minutes,n,avg_r,win_rate,sharpe,pvalue,pvalue_bh,terminal_rate
MGC,0030,WINTER,180,491,-0.413300,0.262700,-0.582600,0.000000,0.000000,0.464400
MGC,0900,SUMMER,1,36,-0.064500,0.444400,-0.133800,0.433947,0.517859,0.055600
MGC,0900,SUMMER,2,36,-0.035100,0.444400,-0.057900,0.733946,0.788718,0.083300
MGC,0900,SUMMER,5,36,-0.006900,0.388900,-0.009500,0.955681,0.964613,0.166700
MGC,0900,SUMMER,10,36,-0.127100,0.361100,-0.148300,0.386131,0.486077,0.416700
MGC,0900,SUMMER,15,36,-0.095200,0.361100,-0.103500,0.544389,0.626028,0.472200
MGC,0900,SUMMER,20,36,-0.156400,0.361100,-0.171000,0.318547,0.435482,0.500000
MGC,0900,SUMMER,30,36,-0.158400,0.305600,-0.159400,0.352264,0.466804,0.555600
MGC,0900,SUMMER,45,36,-0.008100,0.472200,-0.007500,0.965032,0.969521,0.583300
MGC,0900,SUMMER,60,36,-0.063900,0.416700,-0.059500,0.727126,0.785296,0.611100
MGC,0900,SUMMER,90,36,-0.114400,0.333300,-0.100900,0.554387,0.629291,0.666700
MGC,0900,SUMMER,120,36,-0.089400,0.277800,-0.078100,0.646705,0.709078,0.666700
MGC,0900,SUMMER,180,36,-0.046600,0.361100,-0.037400,0.826010,0.861923,0.777800
MGC,0900,WINTER,1,71,-0.241700,0.323900,-0.634400,0.000001,0.000003,0.042300
MGC,0900,WINTER,2,71,-0.225600,0.352100,-0.461100,0.000252,0.000612,0.112700
MGC,0900,WINTER,5,71,-0.191100,0.366200,-0.315200,0.010288,0.020964,0.197200
MGC,0900,WINTER,10,71,-0.230800,0.338000,-0.359200,0.003680,0.007870,0.281700
MGC,0900,WINTER,15,71,-0.235700,0.394400,-0.338100,0.006095,0.012659,0.338000
MGC,0900,WINTER,20,71,-0.167400,0.422500,-0.202200,0.095115,0.161770,0.408500
MGC,0900,WINTER,30,71,-0.291300,0.295800,-0.350000,0.004598,0.009737,0.493000
MGC,0900,WINTER,45,71,-0.267100,0.394400,-0.302800,0.013542,0.026117,0.549300
MGC,0900,WINTER,60,71,-0.327300,0.323900,-0.390000,0.001705,0.003929,0.549300
MGC,0900,WINTER,90,71,-0.498200,0.197200,-0.620100,0.000002,0.000005,0.676100
MGC,0900,WINTER,120,71,-0.499400,0.281700,-0.585400,0.000006,0.000016,0.746500
MGC,0900,WINTER,180,71,-0.625300,0.169000,-0.791200,0.000000,0.000000,0.816900
MGC,1000,ALL,1,180,-0.051300,0.433300,-0.110300,0.141845,0.223639,0.050000
MGC,1000,ALL,2,180,-0.053800,0.427800,-0.096900,0.196466,0.294699,0.072200
MGC,1000,ALL,5,180,-0.045300,0.427800,-0.068300,0.362404,0.474420,0.183300
MGC,1000,ALL,10,180,-0.065600,0.427800,-0.084200,0.261530,0.366821,0.261100
MGC,1000,ALL,15,180,-0.051800,0.455600,-0.058900,0.432028,0.517859,0.355600
MGC,1000,ALL,20,180,-0.090100,0.388900,-0.097600,0.193305,0.291985,0.438900
MGC,1000,ALL,30,180,-0.125200,0.383300,-0.129600,0.084544,0.146092,0.505600
MGC,1000,ALL,45,180,-0.116200,0.388900,-0.110400,0.141539,0.223639,0.577800
MGC,1000,ALL,60,180,-0.160300,0.383300,-0.152500,0.042759,0.078940,0.627800
MGC,1000,ALL,90,180,-0.199500,0.372200,-0.186900,0.013282,0.025846,0.688900
MGC,1000,ALL,120,180,-0.254300,0.322200,-0.233400,0.002092,0.004611,0.738900
MGC,1000,ALL,180,180,-0.294800,0.272200,-0.268200,0.000429,0.001018,0.777800
MGC,1800,SUMMER,1,273,-0.215300,0.322300,-0.559200,0.000000,0.000000,0.022000
MGC,1800,SUMMER,2,273,-0.212400,0.311400,-0.486100,0.000000,0.000000,0.036600
MGC,1800,SUMMER,5,273,-0.199700,0.318700,-0.403500,0.000000,0.000000,0.069600
MGC,1800,SUMMER,10,273,-0.217800,0.282100,-0.417500,0.000000,0.000000,0.087900
MGC,1800,SUMMER,15,273,-0.212900,0.307700,-0.371200,0.000000,0.000000,0.117200
MGC,1800,SUMMER,20,273,-0.208200,0.307700,-0.336800,0.000000,0.000000,0.146500
MGC,1800,SUMMER,30,273,-0.236400,0.329700,-0.353500,0.000000,0.000000,0.212500
MGC,1800,SUMMER,45,273,-0.242800,0.304000,-0.340700,0.000000,0.000000,0.285700
MGC,1800,SUMMER,60,273,-0.287200,0.278400,-0.397300,0.000000,0.000000,0.322300
MGC,1800,SUMMER,90,273,-0.353500,0.249100,-0.464400,0.000000,0.000000,0.435900
MGC,1800,SUMMER,120,273,-0.351100,0.252700,-0.419300,0.000000,0.000000,0.512800
MGC,1800,SUMMER,180,273,-0.422100,0.230800,-0.473300,0.000000,0.000000,0.648400
MGC,1800,WINTER,1,274,-0.183700,0.292000,-0.488500,0.000000,0.000000,0.025500
MGC,1800,WINTER,2,274,-0.192100,0.299300,-0.479500,0.000000,0.000000,0.047400
MGC,1800,WINTER,5,274,-0.170400,0.324800,-0.346200,0.000000,0.000000,0.083900
MGC,1800,WINTER,10,274,-0.207200,0.306600,-0.367600,0.000000,0.000000,0.146000
MGC,1800,WINTER,15,274,-0.220900,0.310200,-0.370900,0.000000,0.000000,0.178800
MGC,1800,WINTER,20,274,-0.226200,0.310200,-0.379100,0.000000,0.000000,0.193400
MGC,1800,WINTER,30,274,-0.234700,0.288300,-0.359100,0.000000,0.000000,0.237200
MGC,1800,WINTER,45,274,-0.218400,0.317500,-0.300300,0.000001,0.000003,0.295600
MGC,1800,WINTER,60,274,-0.230400,0.310200,-0.298500,0.000001,0.000003,0.343100
MGC,1800,WINTER,90,274,-0.247900,0.332100,-0.303800,0.000001,0.000003,0.423400
MGC,1800,WINTER,120,274,-0.299400,0.292000,-0.352000,0.000000,0.000000,0.492700
MGC,1800,WINTER,180,274,-0.368100,0.251800,-0.401800,0.000000,0.000000,0.624100
MGC,2300,SUMMER,1,618,-0.259500,0.271800,-0.735400,0.000000,0.000000,0.009700
MGC,2300,SUMMER,2,618,-0.258400,0.265400,-0.712500,0.000000,0.000000,0.029100
MGC,2300,SUMMER,5,618,-0.273600,0.242700,-0.712400,0.000000,0.000000,0.063100
MGC,2300,SUMMER,10,618,-0.270900,0.275100,-0.621000,0.000000,0.000000,0.106800
MGC,2300,SUMMER,15,618,-0.278700,0.273500,-0.615300,0.000000,0.000000,0.123000
MGC,2300,SUMMER,20,618,-0.288600,0.249200,-0.611600,0.000000,0.000000,0.142400
MGC,2300,SUMMER,30,618,-0.300200,0.252400,-0.604600,0.000000,0.000000,0.171500
MGC,2300,SUMMER,45,618,-0.322100,0.246000,-0.608600,0.000000,0.000000,0.208700
MGC,2300,SUMMER,60,618,-0.329500,0.254000,-0.572400,0.000000,0.000000,0.252400
MGC,2300,SUMMER,90,618,-0.351900,0.250800,-0.565500,0.000000,0.000000,0.322000
MGC,2300,SUMMER,120,618,-0.395400,0.242700,-0.605600,0.000000,0.000000,0.394800
