instrument,bris_time,bris_h,bris_m,n_all,avgr_all,wr_all,totr_all,n_winter,avgr_winter,n_summer,avgr_summer,vol_mean,vol_winter,vol_summer
MNQ,06:00,6,0,470,-0.027659574468085105,18.51063829787234,-13.0,167,0.017964071856287425,303,-0.052805280528052806,9062.45890410959,10433.421348314607,8461.396551724138
MNQ,06:15,6,15,485,0.07628865979381444,29.690721649484537,37.0,167,0.0718562874251497,318,0.07861635220125786,4003.6147260273974,8698.887640449439,1945.0960591133005
MNQ,06:30,6,30,458,0.17467248908296942,32.751091703056765,80.0,167,0.2874251497005988,291,0.10996563573883161,4043.2619863013697,9955.612359550561,1451.1477832512314
MNQ,06:45,6,45,463,0.23110151187904968,33.69330453563715,107.0,165,0.3090909090909091,298,0.18791946308724833,3674.25,9417.786516853932,1156.1477832512314
MNQ,07:00,7,0,145,0.0,8.275862068965518,0.0,145,0.0,0,0.0,3016.3099315068494,9896.207865168539,0.0
MNQ,07:15,7,15,152,-0.1118421052631579,9.868421052631579,-17.0,152,-0.1118421052631579,0,0.0,831.2054794520548,2727.1011235955057,0.0
MNQ,07:30,7,30,151,-0.11258278145695365,11.258278145695364,-17.0,151,-0.11258278145695365,0,0.0,557.8955479452055,1830.3988764044943,0.0
MNQ,07:45,7,45,129,-0.15503875968992248,2.3255813953488373,-20.0,129,-0.15503875968992248,0,0.0,444.17808219178085,1457.3033707865168,0.0
MNQ,08:00,8,0,291,0.006872852233676976,7.903780068728522,2.0,0,0.0,291,0.006872852233676976,2058.9109589041095,0.0,2961.5862068965516
MNQ,08:15,8,15,309,0.019417475728155338,19.741100323624593,6.0,0,0.0,309,0.019417475728155338,822.082191780822,0.0,1182.5024630541873
MNQ,08:30,8,30,283,0.0035335689045936395,13.074204946996467,1.0,0,0.0,283,0.0035335689045936395,826.6061643835617,0.0,1189.0098522167489
MNQ,08:45,8,45,223,0.04932735426008968,8.071748878923767,11.0,0,0.0,223,0.04932735426008968,621.9691780821918,0.0,894.6551724137931
MNQ,09:00,9,0,495,0.06666666666666667,33.73737373737374,33.0,176,0.07954545454545454,319,0.05956112852664577,2176.303082191781,4105.29213483146,1330.588669950739
MNQ,09:15,9,15,466,0.23819742489270387,41.201716738197426,111.0,172,0.22674418604651161,294,0.24489795918367346,1285.9897260273972,1728.247191011236,1092.0935960591132
MNQ,09:30,9,30,477,0.1509433962264151,38.36477987421384,72.0,174,-0.017241379310344827,303,0.24752475247524752,1321.2140410958905,1772.9044943820224,1123.1822660098521
MNQ,09:45,9,45,483,0.18633540372670807,39.54451345755693,90.0,173,0.2658959537572254,310,0.14193548387096774,1257.4349315068494,1615.9943820224719,1100.2339901477833
MNQ,10:00,10,0,512,0.21484375,40.0390625,110.0,177,0.3559322033898305,335,0.14029850746268657,2239.931506849315,2516.0898876404494,2118.8571428571427
