instrument,session,aperture_min,n_days,n_g4,n_breaks,n_trades,avg_r,total_r,win_rate,avg_orb_size,p_value,p_adj_bh,n_winter,avg_r_winter,wr_winter,n_summer,avg_r_summer,wr_summer,sensitivity_verdict,sample_class,delta_vs_5m
MNQ,0030,45,1289,1289,1245,1245,0.075341,93.799055,0.115663,105.907292,0.009686,0.023497,419,0.046042,0.059666,826,0.090203,0.144068,ROBUST,CORE,-0.048586
MNQ,0030,60,1289,1289,1217,1217,0.060788,73.978464,0.085456,117.545384,0.024558,0.048743,410,0.030052,0.036585,807,0.076403,0.110285,ROBUST,CORE,-0.063139
MES,0900,5,1799,488,484,484,0.015670,7.584106,0.264463,7.830430,0.791738,0.806752,340,0.056201,0.252941,144,-0.080031,0.291667,SKIP,CORE,0.000000
MES,0900,10,1787,637,624,624,-0.013370,-8.343063,0.245192,8.384223,0.794436,0.806752,384,0.013826,0.216146,240,-0.056885,0.291667,--,CORE,-0.029040
MES,0900,15,1771,776,755,755,0.047152,35.599385,0.263576,8.341817,0.321326,0.382670,409,0.031794,0.207824,346,0.065305,0.329480,ROBUST,CORE,0.031482
MES,0900,20,1756,887,862,862,0.019799,17.066823,0.250580,8.562852,0.652108,0.700214,433,-0.005428,0.191686,429,0.045261,0.310023,ROBUST,CORE,0.004129
MES,0900,30,1733,1021,989,989,-0.017297,-17.107055,0.231547,9.038932,0.665892,0.709202,457,-0.029185,0.175055,532,-0.007085,0.280075,--,CORE,-0.032967
MES,0900,45,1717,1196,1150,1150,0.035448,40.765219,0.240000,9.615385,0.341169,0.400398,469,-0.002578,0.168443,681,0.061636,0.289280,ROBUST,CORE,0.019778
MES,0900,60,1709,1335,1265,1265,0.035864,45.368554,0.224506,10.091573,0.302677,0.366857,481,0.025465,0.158004,784,0.042245,0.265306,ROBUST,CORE,0.020195
MES,1000,5,1808,530,527,527,0.139502,73.517683,0.362429,6.399528,0.025484,0.049095,527,0.139502,0.362429,0,,,SKIP,CORE,0.000000
MES,1000,10,1808,803,797,797,0.133310,106.247719,0.337516,7.002179,0.007390,0.019772,797,0.133310,0.337516,0,,,ROBUST,CORE,-0.006193
MES,1000,15,1806,994,983,983,0.100937,99.221080,0.315361,7.422284,0.021510,0.044726,983,0.100937,0.315361,0,,,ROBUST,CORE,-0.038565
MES,1000,20,1805,1133,1114,1114,0.076887,85.652341,0.289946,8.018756,0.055951,0.090692,1114,0.076887,0.289946,0,,,ROBUST,CORE,-0.062615
MES,1000,30,1801,1294,1253,1253,0.088100,110.389744,0.280926,8.610703,0.018528,0.039790,1253,0.088100,0.280926,0,,,ROBUST,CORE,-0.051402
MES,1000,45,1793,1443,1369,1369,0.035327,48.362567,0.238860,9.427408,0.300199,0.366857,1369,0.035327,0.238860,0,,,ROBUST,CORE,-0.104175
MES,1000,60,1787,1516,1393,1393,0.059975,83.544876,0.231156,10.276385,0.071066,0.108471,1393,0.059975,0.231156,0,,,ROBUST,CORE,-0.079527
MES,1100,5,1805,346,344,344,0.148607,51.120798,0.366279,6.696532,0.056076,0.090692,344,0.148607,0.366279,0,,,SKIP,CORE,0.000000
MES,1100,10,1805,576,572,572,0.130842,74.841352,0.351399,7.219184,0.028414,0.051926,572,0.130842,0.351399,0,,,ROBUST,CORE,-0.017765
MES,1100,15,1803,718,711,711,0.176365,125.395669,0.360056,7.634053,0.001016,0.004929,711,0.176365,0.360056,0,,,ROBUST,CORE,0.027758
MES,1100,20,1803,911,900,900,0.121353,109.218047,0.324444,7.855104,0.008847,0.021954,900,0.121353,0.324444,0,,,ROBUST,CORE,-0.027254
MES,1100,30,1801,1107,1081,1081,0.115289,124.627290,0.309898,8.394986,0.005532,0.017254,1081,0.115289,0.309898,0,,,ROBUST,CORE,-0.033318
MES,1100,45,1801,1378,1312,1312,0.110955,145.572325,0.273628,9.220791,0.002223,0.008088,1312,0.110955,0.273628,0,,,ROBUST,CORE,-0.037652
MES,1100,60,1799,1499,1383,1383,0.114650,158.561046,0.258134,9.942795,0.000904,0.004738,1383,0.114650,0.258134,0,,,ROBUST,CORE,-0.033957
MES,1800,5,1805,706,706,706,0.008505,6.004181,0.334278,6.560198,0.873274,0.879991,331,0.042296,0.347432,375,-0.021322,0.322667,SKIP,CORE,0.000000
MES,1800,10,1802,1048,1045,1045,0.074045,77.377102,0.352153,7.423903,0.095095,0.138417,462,0.078761,0.350649,583,0.070308,0.353345,ROBUST,CORE,0.065541
MES,1800,15,1802,1229,1225,1225,0.083617,102.430621,0.351837,8.038853,0.040941,0.069654,529,0.122597,0.359168,696,0.053990,0.346264,ROBUST,CORE,0.075112
MES,1800,20,1802,1342,1336,1336,0.106788,142.669056,0.353293,8.668592,0.006396,0.018619,568,0.147361,0.360915,768,0.076782,0.347656,ROBUST,CORE,0.098284
MES,1800,30,1802,1476,1461,1461,0.092336,134.902224,0.334018,9.639397,0.012176,0.028482,610,0.160896,0.347541,851,0.043191,0.324324,ROBUST,CORE,0.083831
MES,1800,45,1801,1603,1561,1561,0.070932,110.725375,0.317745,10.930131,0.043241,0.072622,647,0.133852,0.329212,914,0.026393,0.309628,ROBUST,CORE,0.062428
MES,1800,60,1801,1659,1603,1603,0.077114,123.614499,0.312539,11.807715,0.025026,0.048931,662,0.166198,0.327795,941,0.014444,0.301807,ROBUST,CORE,0.068610
MES,2300,5,1804,560,560,560,0.047247,26.458333,0.348214,6.638839,0.434596,0.483338,168,0.035714,0.345238,392,0.052190,0.349490,SKIP,CORE,0.000000
MES,2300,10,1804,918,918,918,0.090055,82.670398,0.359477,7.257898,0.058077,0.091663,283,0.064900,0.353357,635,0.101266,0.362205,ROBUST,CORE,0.042808
MES,2300,15,1802,1108,1106,1106,0.108230,119.702470,0.364376,7.760379,0.012689,0.029163,353,0.112315,0.368272,753,0.106315,0.362550,ROBUST,CORE,0.060983
MES,2300,20,1800,1260,1260,1260,0.098213,123.748669,0.357937,8.201389,0.015301,0.034176,417,0.028928,0.335731,843,0.132486,0.368921,ROBUST,CORE,0.050966
MES,2300,30,1799,1467,1467,1467,0.170046,249.457749,0.372870,9.318507,0.000007,0.000296,480,0.150043,0.370833,987,0.179774,0.373860,ROBUST,CORE,0.122799
MES,2300,45,1797,1718,1705,1705,0.111213,189.618763,0.266862,15.757276,0.000447,0.003250,548,0.020975,0.288321,1157,0.153954,0.256698,ROBUST,CORE,0.063966
MES,2300,60,1797,1744,1718,1718,0.069835,119.977236,0.199651,18.796445,0.015392,0.034176,569,-0.011393,0.261863,1149,0.110061,0.168842,ROBUST,CORE,0.022588
MES,0030,5,1805,1386,1385,1385,0.124795,172.840818,0.358845,8.912338,0.001202,0.005428,563,0.049838,0.325044,822,0.176134,0.381995,SKIP,CORE,0.000000
MES,0030,10,1805,1588,1586,1586,0.123461,195.809717,0.331652,11.034635,0.000434,0.003250,591,0.119369,0.313029,995,0.125892,0.342714,ROBUST,CORE,-0.001333
MES,0030,15,1805,1665,1663,1663,0.119962,199.496461,0.301263,12.637988,0.000308,0.003108,600,0.112733,0.276667,1063,0.124042,0.315146,ROBUST,CORE,-0.004833
MES,0030,20,1805,1716,1707,1707,0.141241,241.098009,0.275923,14.166230,0.000009,0.000302,600,0.120849,0.236667,1107,0.152293,0.297200,ROBUST,CORE,0.016446
MES,0030,30,1805,1754,1734,1734,0.082208,142.549279,0.213379,16.566705,0.004819,0.015396,599,0.040415,0.161937,1135,0.104265,0.240529,ROBUST,CORE,-0.042586
MES,0030,45,1805,1773,1725,1725,0.045832,79.060760,0.138551,19.860688,0.078991,0.117588,590,0.001830,0.093220,1135,0.068706,0.162115,ROBUST,CORE,-0.078962
MES,0030,60,1805,1786,1702,1702,0.031098,52.929108,0.108108,22.189110,0.203610,0.264088,576,-0.010549,0.069444,1126,0.052403,0.127886,ROBUST,CORE,-0.093697
MCL,0900,5,1250,2,0,0,,0.000000,,6.620000,,,0,,,0,,,--,INVALID,
MCL,0900,10,1190,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,0900,15,1148,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,0900,20,1104,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,0900,30,1002,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,0900,45,888,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,0900,60,815,2,0,0,,0.000000,,6.725000,,,0,,,0,,,--,INVALID,
MCL,1000,5,1293,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1000,10,1278,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1000,15,1268,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1000,20,1256,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1000,30,1213,1,1,1,0.086294,0.086294,0.000000,5.910000,,,1,0.086294,0.000000,0,,,SKIP,INVALID,
MCL,1000,45,1163,1,1,1,0.086294,0.086294,0.000000,5.910000,,,1,0.086294,0.000000,0,,,SKIP,INVALID,
MCL,1000,60,1118,2,2,2,0.034704,0.069409,0.000000,5.620000,0.623015,0.674504,2,0.034704,0.000000,0,,,SKIP,INVALID,
MCL,1100,5,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,10,1298,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,15,1297,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,20,1295,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,30,1291,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,45,1288,0,0,0,,0.000000,,,,,0,,,0,,,--,INVALID,
MCL,1100,60,1281,1,0,0,,0.000000,,4.160000,,,0,,,0,,,--,INVALID,
