symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift
MES,1000,E0,1,1.0,size_q60_plus,1770,765,95.625,0.08654771241830066,-0.11296079601990047,0.19950850843820112,0.6287581699346405,0.6258706467661691,6,7,0.8571428571428571,0.16253663127413126,0.38289409803921565
M2K,US_POST_EQUITY,E0,1,2.0,short_fast30,1188,598,99.66666666666667,0.08650919732441471,0.041701694915254245,0.04480750240916047,0.40635451505016723,0.39322033898305087,3,5,0.6,0.06350033240653749,-0.027648218793828894
MES,US_POST_EQUITY,E0,2,3.0,size_q60_plus,690,259,32.375,0.08608687258687259,0.07032575406032482,0.015761118526547768,0.28957528957528955,0.3225058004640371,1,6,0.16666666666666666,,
MES,US_POST_EQUITY,E0,2,1.0,long_fast30,743,328,41.0,0.08605426829268294,-0.001893975903614461,0.0879482441962974,0.6158536585365854,0.5807228915662651,4,6,0.6666666666666666,,
MES,US_EQUITY_OPEN,E0,1,2.0,fast_le_30,1735,1488,186.0,0.0857810483870968,0.12455668016194331,-0.03877563177484651,0.396505376344086,0.44129554655870445,0,0,,-0.01597572794834308,
MES,LONDON_OPEN,E0,2,4.0,fast30_and_q60,653,253,31.625,0.08562608695652174,-0.12713050000000004,0.21275658695652178,0.2450592885375494,0.23,4,5,0.8,,
MES,US_POST_EQUITY,E0,2,3.0,short_fast30,690,280,35.0,0.08543214285714283,0.06996560975609757,0.01546653310104526,0.30357142857142855,0.3146341463414634,3,6,0.5,,
MES,1000,E0,1,2.0,size_q60_plus,1767,762,95.25,0.08542296587926511,-0.0982244776119403,0.1836474434912054,0.4199475065616798,0.42686567164179107,5,7,0.7142857142857143,0.11803219060756731,0.44265546405228756
MGC,1100,E0,1,4.0,long_q60,2465,519,47.18181818181818,0.08497745664739884,-0.2996193730729702,0.384596829720369,0.27360308285163776,0.2343268242548818,8,8,1.0,0.35911326454763254,0.27751333333333333
MES,1000,E0,2,1.5,short_q60,638,158,19.75,0.08453607594936709,-0.12889041666666665,0.21342649261603375,0.5,0.4708333333333333,3,3,1.0,,
MES,CME_CLOSE,E0,1,2.5,long_fast30,1013,435,54.375,0.08437977011494253,-0.16580553633217993,0.25018530644712245,0.3724137931034483,0.2889273356401384,6,6,1.0,,
MES,CME_OPEN,E0,1,1.0,short_q60,1003,213,26.625,0.08318638497652582,-0.06067556962025317,0.14386195459677897,0.6056338028169014,0.5924050632911393,3,5,0.6,,
MES,1000,E0,2,1.0,fast30_and_q60,640,235,29.375,0.08302851063829787,-0.125319012345679,0.20834752298397685,0.625531914893617,0.5925925925925926,5,5,1.0,,
MES,US_POST_EQUITY,E0,2,4.0,short_fast30,651,269,33.625,0.08252379182156135,-0.006604712041884807,0.08912850386344615,0.241635687732342,0.2356020942408377,4,6,0.6666666666666666,,
MES,0030,E0,1,1.5,size_q60_plus,1774,746,93.25,0.08205616621983915,-0.01250894941634241,0.09456511563618156,0.46380697050938335,0.4708171206225681,6,6,1.0,0.08468870406437781,0.04382701011378008
