label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
SIZE=small (0.0-0.7pt): expanding=-0.721R(N=157) contracting=-0.619R(N=156) diff=-0.102R p=0.2124,313,-0.10182846643802068,0.21236498621927039,,,-0.0030989098481136734,,,,,,,MGC,0900,10,expansion_within_size_band,small
SIZE=medium (0.7-1.6pt): expanding=-0.333R(N=164) contracting=-0.474R(N=164) diff=+0.141R p=0.2375,328,0.14094268292682927,0.23753355174680968,,,0.19733048780487816,,,,,,,MGC,0900,10,expansion_within_size_band,medium
SIZE=large (1.6-100.6pt): expanding=0.031R(N=160) contracting=-0.170R(N=159) diff=+0.201R p=0.2366,319,0.20060983097484275,0.23662049199781884,,,0.08877669025157231,,,,,,,MGC,0900,10,expansion_within_size_band,large
ALL (N=1008),1008,-0.26861279761904766,0.19444444444444445,-270.7617,-0.1986538611677266,0.56855,0.5317460317460317,0.35119047619047616,0.2757936507936508,0.22123015873015872,0.1527777777777778,0.09325396825396826,MGC,1000,5,expansion_ratio,ALL
EXPAND>=1.0x (N=511),511,-0.2108060665362035,0.18590998043052837,-107.72189999999999,-0.149167637133238,0.587,0.5459882583170255,0.36203522504892366,0.27984344422700586,0.24266144814090018,0.18003913894324852,0.11937377690802348,MGC,1000,5,expansion_ratio,>=1.0
CONTRACT<1.0x (N=497),497,-0.3280478873239437,0.20321931589537223,-163.0398,-0.25555556650103367,0.5263,0.5171026156941649,0.34004024144869216,0.2716297786720322,0.19919517102615694,0.12474849094567404,0.06639839034205232,MGC,1000,5,expansion_ratio,<1.0
EXPAND>=1.25x (N=325),325,-0.055527999999999994,0.22153846153846155,-18.046599999999998,-0.03593092055429865,0.6967,0.5846153846153846,0.41846153846153844,0.3415384615384615,0.29846153846153844,0.2276923076923077,0.15076923076923077,MGC,1000,5,expansion_ratio,>=1.25
CONTRACT<1.25x (N=683),683,-0.370007467057101,0.1815519765739385,-252.7151,-0.2991313524107316,0.5155,0.5065885797950219,0.3191800878477306,0.2445095168374817,0.18448023426061494,0.1171303074670571,0.06588579795021962,MGC,1000,5,expansion_ratio,<1.25
EXPAND>=1.5x (N=242),242,0.022946694214876037,0.23553719008264462,5.553100000000001,0.014296382697839026,0.76405,0.5991735537190083,0.4297520661157025,0.35537190082644626,0.32231404958677684,0.24793388429752067,0.16942148760330578,MGC,1000,5,expansion_ratio,>=1.5
CONTRACT<1.5x (N=766),766,-0.3607242819843342,0.1814621409921671,-276.3148,-0.28911391005630305,0.51635,0.5104438642297651,0.3263707571801567,0.2506527415143603,0.18929503916449086,0.1227154046997389,0.06919060052219321,MGC,1000,5,expansion_ratio,<1.5
EXPAND>=2.0x (N=111),111,0.036926126126126134,0.22522522522522523,4.098800000000001,0.02221650772481262,0.8854,0.5945945945945946,0.4594594594594595,0.38738738738738737,0.34234234234234234,0.2702702702702703,0.21621621621621623,MGC,1000,5,expansion_ratio,>=2.0
CONTRACT<2.0x (N=897),897,-0.3064219620958752,0.19063545150501673,-274.86050000000006,-0.23503146534272215,0.5512,0.5239687848383501,0.3377926421404682,0.26198439241917504,0.20624303232998886,0.13823857302118173,0.07803790412486064,MGC,1000,5,expansion_ratio,<2.0
EXPAND>=3.0x (N=34),34,0.0864441176470589,0.23529411764705882,2.9391000000000025,0.05188723945415973,0.937,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.35294117647058826,0.23529411764705882,MGC,1000,5,expansion_ratio,>=3.0
CONTRACT<3.0x (N=974),974,-0.2810069815195072,0.19301848049281314,-273.7008,-0.20999158816434477,0.5645,0.5297741273100616,0.3470225872689938,0.26899383983572894,0.2135523613963039,0.1457905544147844,0.08829568788501027,MGC,1000,5,expansion_ratio,<3.0
"r(expansion,pnl)=0.087 p=0.0058 | r(expansion,mfe)=0.093 p=0.0031",1008,0.08679693666266809,0.005824459078975538,,,0.09313911871702188,,,,,,,MGC,1000,5,expansion_ratio_correlation,continuous
POST-NR5 (N=231),231,-0.14651385281385285,0.23376623376623376,-33.84470000000001,-0.10095516369411649,0.625,0.5670995670995671,0.37662337662337664,0.31601731601731603,0.2597402597402597,0.19047619047619047,0.11255411255411256,MGC,1000,5,post_nr,post_nr=True
NOT-NR5 (N=782),782,-0.3093567774936061,0.1815856777493606,-241.917,-0.2350678732395652,0.5440499999999999,0.5191815856777494,0.34271099744245526,0.26214833759590794,0.20843989769820973,0.14066496163682865,0.08695652173913043,MGC,1000,5,post_nr,post_nr=False
pnl t=1.53 p=0.1277 | mfe t=1.56 p=0.1195,231,0.16284292467975328,,,,,,,,,,,MGC,1000,5,post_nr_significance,t-test
"r(expansion_ratio, abs_size)=0.485 p=0.0000",1008,0.48505622483043787,,,,,,,,,,,MGC,1000,5,confound_check,ratio_vs_abs_size
