symbol,anchor,target_mode,year,n,avg_r,total_r,wr
MNQ,1000,FAR,2025,2,1.1178282633806924,2.235656526761385,1.0
MNQ,1000,MID,2024,2,-0.09237065185611198,-0.18474130371222397,0.5
MNQ,1000,MID,2025,2,0.15517905275316157,0.31035810550632315,1.0
MNQ,1000,SPLIT70,2024,2,-0.36465945629927843,-0.7293189125985569,0.5
MNQ,1000,SPLIT70,2025,2,0.44397381594142077,0.8879476318828415,1.0
MNQ,1000,SPLIT70_BE,2024,2,-0.23268050277691726,-0.46536100555383453,0.5
MNQ,1000,SPLIT70_BE,2025,2,0.26203311513278527,0.5240662302655705,1.0
MES,1100,FAR,2019,3,-1.0,-3.0,0.0
MES,1100,FAR,2020,10,0.19407156368793127,1.9407156368793126,0.6
MES,1100,FAR,2021,12,-0.0617769754072997,-0.7413237048875964,0.5
MES,1100,FAR,2022,9,0.02365189681574896,0.21286707134174065,0.2222222222222222
MES,1100,FAR,2023,5,0.16347007292010446,0.8173503646005223,0.4
MES,1100,FAR,2025,9,0.08313713184720656,0.7482341866248591,0.5555555555555556
MES,1100,FAR,2026,2,-0.10102739726028526,-0.2020547945205705,0.5
