symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,1800,2.5,2,258.0,2215,235,-0.212,0.4645,0.2749,0.4809,4.6562,5e-06,2.1e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.5,3,296.0,1862,193,-0.2425,0.5869,0.2594,0.513,5.2444,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.5,4,301.0,1761,189,-0.2292,0.6298,0.2618,0.5238,5.5432,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.5,5,306.0,1693,190,-0.2294,0.5718,0.2605,0.5,4.9898,1e-06,5e-06,NO-BENEFIT (avg_r_after >= 0)
MES,1800,3.0,1,247.0,4714,482,-0.2572,0.628,0.234,0.4751,8.0177,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,3.0,2,319.0,2252,189,-0.2315,0.7646,0.2353,0.5026,5.9579,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,3.0,3,323.0,1881,171,-0.2513,0.8201,0.2243,0.5146,6.0319,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,3.0,4,324.0,1774,170,-0.2309,0.8094,0.2283,0.5059,5.8719,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,3.0,5,333.0,1720,149,-0.24,1.0673,0.2256,0.5705,7.2222,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,4.0,1,327.0,4823,363,-0.2758,1.1925,0.1823,0.5096,10.504,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,4.0,2,352.0,2273,155,-0.235,1.2984,0.187,0.5226,7.3125,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,4.0,3,379.0,1914,122,-0.2619,1.5335,0.1776,0.5656,7.5807,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,4.0,4,377.0,1793,130,-0.262,1.251,0.1762,0.5,6.3014,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,4.0,5,383.0,1709,127,-0.2849,1.2272,0.1709,0.4961,6.1196,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
