leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_off,wr_on,wr_off
M2K_1000,M6E_1800,1252,599,0.4784345047923323,-0.34747292332268365,-0.3541168614357263,-0.34137840735068914,-0.012738454085037154,0.2587646076794658,0.2664624808575804
M6E_1000,M6E_US_EQUITY_OPEN,1125,575,0.5111111111111111,-0.33112124444444435,-0.33786678260869574,-0.32406909090909103,-0.013797691699604708,0.2608695652173913,0.2672727272727273
MES_1000,M6E_LONDON_OPEN,1247,614,0.49238171611868486,-0.2762086607858861,-0.28341710097719874,-0.26921658767772516,-0.014200513299473583,0.28501628664495116,0.2890995260663507
M2K_US_DATA_OPEN,M6E_US_DATA_OPEN,1024,441,0.4306640625,-0.39325761718749996,-0.40219773242630386,-0.38649502572898803,-0.015702706697315827,0.24036281179138322,0.241852487135506
M2K_0900,MES_0030,1132,525,0.4637809187279152,-0.12134558303886929,-0.13009619047619045,-0.113777100494234,-0.016319089981956456,0.2723809523809524,0.2784184514003295
M2K_LONDON_OPEN,M6E_1800,1252,604,0.48242811501597443,-0.3474729233226836,-0.3559557947019868,-0.33956604938271606,-0.016389745319270732,0.26158940397350994,0.2638888888888889
MES_0030,M2K_CME_CLOSE,432,195,0.4513888888888889,-0.7621365740740742,-0.7713153846153847,-0.754584388185654,-0.01673099642973075,0.08205128205128205,0.08860759493670886
MES_0900,MES_0030,1585,758,0.4782334384858044,-0.13733722397476342,-0.1463688654353562,-0.12905912938331315,-0.017309736052043057,0.2691292875989446,0.27690447400241835
M6E_US_EQUITY_OPEN,MES_US_POST_EQUITY,1080,564,0.5222222222222223,-0.1318489814814815,-0.14067269503546098,-0.12220445736434106,-0.018468237671119922,0.26773049645390073,0.2751937984496124
MES_1000,MES_LONDON_OPEN,1780,899,0.505056179775281,-0.18688044943820226,-0.1960349276974416,-0.177538933030647,-0.018495994666794607,0.26807563959955505,0.2746878547105562
M2K_0030,M6E_US_EQUITY_OPEN,1125,201,0.17866666666666667,-0.3311212444444444,-0.3463900497512438,-0.3277997835497836,-0.018590266201460204,0.2537313432835821,0.2662337662337662
MES_US_DATA_OPEN,MES_US_EQUITY_OPEN,1519,714,0.4700460829493088,-0.14336866359447006,-0.1532939775910364,-0.13456534161490685,-0.01872863597612956,0.2605042016806723,0.26956521739130435
M2K_LONDON_OPEN,MES_US_POST_EQUITY,1080,538,0.4981481481481482,-0.13184898148148147,-0.14149460966542754,-0.12227453874538743,-0.019220070920040105,0.26765799256505574,0.27490774907749077
M2K_US_DATA_OPEN,M6E_US_POST_EQUITY,996,504,0.5060240963855421,-0.35162881526104417,-0.36129940476190486,-0.34172235772357723,-0.019577047038327633,0.24603174603174602,0.25609756097560976
M2K_CME_OPEN,MES_1100,1278,192,0.15023474178403756,-0.31437949921752745,-0.33204374999999997,-0.3112565377532229,-0.020787212246777098,0.23958333333333334,0.2513812154696133
M6E_US_DATA_OPEN,MES_US_DATA_OPEN,1160,531,0.45775862068965517,-0.21097043103448276,-0.22249679849340867,-0.20123990461049285,-0.021256893882915823,0.256120527306968,0.26391096979332274
MES_1000,M2K_1100,1278,632,0.4945226917057903,-0.3199291862284819,-0.3306833860759494,-0.30940804953560375,-0.021275336540345635,0.27689873417721517,0.2801857585139319
MES_US_EQUITY_OPEN,M6E_0030,1090,530,0.48623853211009177,-0.3780273394495413,-0.389045283018868,-0.3675996428571429,-0.021445640161725066,0.24339622641509434,0.25535714285714284
M6E_US_DATA_OPEN,MES_US_EQUITY_OPEN,1097,484,0.4412032816773017,-0.09587356426618047,-0.10859896694214874,-0.08582610114192496,-0.02277286580022378,0.27479338842975204,0.2805872756933116
M2K_0900,M6E_1100,1285,590,0.4591439688715953,-0.41177813229571975,-0.42430067796610177,-0.4011474820143885,-0.02315319595171328,0.27796610169491526,0.2949640287769784
MES_US_POST_EQUITY,MES_US_EQUITY_OPEN,1519,81,0.05332455562870309,-0.14336866359447004,-0.16552716049382718,-0.14212051460361613,-0.023406645890211047,0.25925925925925924,0.26564673157162727
MES_US_DATA_OPEN,M2K_US_EQUITY_OPEN,836,387,0.46291866028708134,-0.27700466507177035,-0.2897927648578811,-0.2659824053452116,-0.023810359512669466,0.21705426356589147,0.22494432071269488
M6E_US_DATA_OPEN,MES_US_POST_EQUITY,1080,521,0.4824074074074074,-0.1318489814814815,-0.14438426103646834,-0.12016583184257601,-0.024218429193892332,0.2667946257197697,0.27549194991055453
