symbol,session,rr_target,confirm_bars,n_winners,sample_class,session_max_min,t50,t80,t90,t95,t_max_obs,dead_exposure_min
MES,US_DATA_OPEN,3.0,3,369,CORE,240,60.0,109.0,192.0,321.0,515.0,131.0
MES,US_DATA_OPEN,3.0,4,352,CORE,240,58.0,115.0,209.0,301.0,497.0,125.0
MES,US_DATA_OPEN,3.0,5,346,CORE,240,60.0,127.0,227.0,356.0,484.0,113.0
MES,US_DATA_OPEN,4.0,1,583,CORE,240,58.0,106.0,203.0,335.0,500.0,134.0
MES,US_DATA_OPEN,4.0,2,278,CORE,240,65.0,135.0,267.0,381.0,560.0,105.0
MES,US_DATA_OPEN,4.0,3,266,CORE,240,70.0,153.0,243.0,364.0,559.0,87.0
MES,US_DATA_OPEN,4.0,4,265,CORE,240,72.0,187.0,310.0,367.0,558.0,53.0
MES,US_DATA_OPEN,4.0,5,249,CORE,240,77.0,196.0,299.0,386.0,557.0,44.0
MES,US_EQUITY_OPEN,1.0,1,1722,CORE,300,18.0,46.0,86.0,135.0,396.0,254.0
MES,US_EQUITY_OPEN,1.0,2,866,CORE,300,26.0,68.0,123.0,213.0,503.0,232.0
MES,US_EQUITY_OPEN,1.0,3,846,CORE,300,32.0,85.0,157.0,230.0,502.0,215.0
MES,US_EQUITY_OPEN,1.0,4,835,CORE,300,36.0,102.0,179.0,255.0,501.0,198.0
MES,US_EQUITY_OPEN,1.0,5,799,CORE,300,39.0,107.0,187.0,252.0,500.0,193.0
MES,US_EQUITY_OPEN,1.5,1,1385,CORE,300,34.0,90.0,170.0,263.0,504.0,210.0
MES,US_EQUITY_OPEN,1.5,2,677,CORE,300,51.0,140.0,227.0,315.0,424.0,160.0
MES,US_EQUITY_OPEN,1.5,3,656,CORE,300,64.0,184.0,261.0,318.0,492.0,116.0
MES,US_EQUITY_OPEN,1.5,4,623,CORE,300,70.0,194.0,274.0,329.0,541.0,106.0
MES,US_EQUITY_OPEN,1.5,5,609,CORE,300,81.0,219.0,282.0,336.0,506.0,81.0
