symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,US_EQUITY_OPEN,E0,2,2.0,short_fast,724,289,36.125,0.10595121107266439,0.12274436781609196,-0.016793156743427573,0.40484429065743943,0.4160919540229885,4,6,0.6666666666666666,,,0,0
MES,0030,E0,2,2.5,short_fast,690,287,35.875,0.10526480836236933,0.07727692307692308,0.027987885285446254,0.3554006968641115,0.3573200992555831,3,6,0.5,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.0,long_only,742,376,47.0,0.10409867021276595,0.042966393442622944,0.061132276770143004,0.6117021276595744,0.5765027322404371,4,7,0.5714285714285714,,,0,0
MES,0030,E0,1,2.0,short_only,1751,872,109.0,0.10360963302752295,-0.01652559726962457,0.12013523029714751,0.41857798165137616,0.37656427758816835,5,7,0.7142857142857143,0.11020411777468074,0.21440576923076923,117,132
MES,US_EQUITY_OPEN,E0,2,2.5,fast_and_q75,697,157,19.625,0.10311210191082804,0.060637037037037024,0.04247506487379101,0.33121019108280253,0.34074074074074073,2,3,0.6666666666666666,,,0,0
MES,0030,E0,2,2.5,short_only,690,352,44.0,0.1022181818181818,0.07506745562130177,0.02715072619688004,0.36079545454545453,0.3520710059171598,4,7,0.5714285714285714,,,0,0
MES,CME_CLOSE,E0,1,2.0,fast_le_15,1145,987,123.375,0.10208196555217831,-0.20931392405063293,0.3113958896028112,0.43465045592705165,0.35443037974683544,0,0,,,,0,0
MES,US_POST_EQUITY,E0,2,2.5,fast_le_15,708,549,68.625,0.10200400728597452,0.058399371069182394,0.04360463621679212,0.3551912568306011,0.3710691823899371,0,0,,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.5,long_fast,735,287,35.875,0.10155296167247388,0.05949553571428571,0.04205742595818817,0.4843205574912892,0.47098214285714285,2,6,0.3333333333333333,,,0,0
MES,US_POST_EQUITY,E0,2,2.5,short_only,708,338,42.25,0.10089142011834318,0.08428216216216215,0.016609257956181026,0.35798816568047337,0.35945945945945945,2,7,0.2857142857142857,,,0,0
MES,0030,E0,1,1.5,size_q75_plus,1774,476,59.5,0.10001596638655462,0.0005755778120184966,0.09944038857453612,0.46638655462184875,0.46841294298921415,4,6,0.6666666666666666,0.09810209583343586,-0.04746516993464053,100,153
MES,US_EQUITY_OPEN,E0,1,2.0,long_only,1735,872,109.0,0.09968279816513761,0.08283232908458867,0.01685046908054895,0.40711009174311924,0.3986095017381228,3,7,0.42857142857142855,0.026544884178954148,-0.055385453254132216,121,128
MES,US_POST_EQUITY,E0,2,1.5,fast_and_q75,737,160,20.0,0.09952187499999998,0.07107365684575391,0.02844821815424607,0.4625,0.5025996533795494,1,3,0.3333333333333333,,,0,0
MES,1000,E0,2,2.0,size_q75_plus,637,168,21.0,0.09845238095238097,-0.09440639658848614,0.1928587775408671,0.4107142857142857,0.4136460554371002,3,3,1.0,,,0,0
MES,US_POST_EQUITY,E0,2,1.5,size_q50_plus,737,365,45.625,0.09814630136986303,0.0567462365591398,0.04140006481072323,0.4712328767123288,0.5161290322580645,3,5,0.6,,,0,0
MES,0030,E0,2,1.5,long_fast,717,283,35.375,0.09792226148409895,0.038434101382488484,0.05948816010161047,0.49469964664310956,0.4769585253456221,3,6,0.5,,,0,0
MES,US_POST_EQUITY,E0,1,1.5,size_q75_plus,1764,465,58.125,0.09776903225806453,0.03194803695150117,0.06582099530656337,0.46236559139784944,0.48344880677444185,3,6,0.5,0.01561481963550395,0.15645989844493813,115,137
MES,US_POST_EQUITY,E0,2,2.5,short_fast,708,262,32.75,0.09688702290076337,0.08946479820627803,0.007422224694485335,0.3511450381679389,0.3632286995515695,3,6,0.5,,,0,0
MES,CME_CLOSE,E0,1,1.0,short_fast,1503,652,81.5,0.09600460122699389,0.11760270270270272,-0.021598101475708828,0.6349693251533742,0.6721504112808461,2,6,0.3333333333333333,-0.029456773907173814,0.015497393165660144,103,127
MES,1000,E0,1,2.5,fast_and_q75,1767,354,44.25,0.0955683615819209,-0.050198796886058036,0.14576715846797894,0.3531073446327684,0.3637650389242746,3,5,0.6,0.09327102982731553,0.2794885319808398,84,169
MES,1000,E0,1,1.5,fast_and_q75,1769,355,44.375,0.0951594366197183,-0.06262715700141441,0.15778659362113273,0.49295774647887325,0.5042432814710043,3,5,0.6,0.10753086322526607,0.2896395181741335,84,169
MES,US_EQUITY_OPEN,E0,1,1.5,size_q50_plus,1766,921,115.125,0.09514310532030404,0.046833017751479286,0.04831008756882475,0.46688382193268185,0.48284023668639053,4,6,0.6666666666666666,0.02627022791478617,0.13163796647691337,186,68
MES,US_POST_EQUITY,E0,1,1.0,fast_and_q75,1786,413,51.625,0.09407094430992737,0.018606336489439185,0.07546460782048818,0.576271186440678,0.5921340131099782,3,6,0.5,0.048844675205445706,0.1079206269349845,102,152
MES,0030,E0,1,2.5,short_only,1716,859,107.375,0.09384016298020954,-0.008167094515752614,0.10200725749596215,0.3562281722933644,0.3267211201866978,4,7,0.5714285714285714,0.10667708943132927,0.08582151162790697,116,129
MES,US_EQUITY_OPEN,E0,1,2.5,long_fast,1688,660,82.5,0.09359151515151515,0.05748258754863814,0.03610892760287701,0.34393939393939393,0.33657587548638135,3,6,0.5,0.07229400278293138,-0.15163356718834323,109,136
MES,US_EQUITY_OPEN,E0,1,2.5,long_only,1688,840,105.0,0.09270440476190477,0.05069669811320754,0.04200770664869723,0.3476190476190476,0.3313679245283019,4,7,0.5714285714285714,0.07434609904845152,-0.1447496663552649,118,127
MES,US_EQUITY_OPEN,E0,1,1.5,short_fast,1766,711,88.875,0.09119662447257385,0.059108909952606634,0.03208771451996721,0.4781997187060478,0.4720379146919431,3,6,0.5,0.03960230818649046,0.007502421758569321,122,132
MES,US_POST_EQUITY,E0,2,1.5,fast_le_15,737,569,71.125,0.09097838312829526,0.03075178571428571,0.06022659741400955,0.492091388400703,0.5,0,0,,,,0,0
MES,US_EQUITY_OPEN,E0,2,3.0,fast_and_q75,671,150,18.75,0.0908993333333333,-0.01885431861804222,0.10975365195137553,0.2866666666666667,0.2744721689059501,2,3,0.6666666666666666,,,0,0
MES,0030,E0,2,2.0,short_only,709,358,44.75,0.09070921787709495,0.12015470085470085,-0.029445482977605908,0.41620111731843573,0.42735042735042733,3,7,0.42857142857142855,,,0,0
MES,US_POST_EQUITY,E0,2,3.0,long_fast,690,277,34.625,0.09019566787003609,0.06688305084745762,0.023312617022578475,0.3104693140794224,0.3099273607748184,4,6,0.6666666666666666,,,0,0
MES,0030,E0,1,1.0,short_fast,1789,732,91.5,0.0899766393442623,-0.00012261116367076038,0.09009925050793306,0.6133879781420765,0.5771050141911069,4,6,0.6666666666666666,0.08965399124939233,0.08549754385964908,114,140
MES,0030,E0,1,1.0,fast_and_q75,1789,433,54.125,0.08966951501154735,0.019842477876106195,0.06982703713544115,0.5773672055427251,0.5966076696165191,4,6,0.6666666666666666,0.07498309085099022,-0.07957030122476007,95,159
