leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_base,uplift_on_vs_off,wr_base,wr_on,wr_off
MGC_0900,MNQ_0030,423,208,0.491725768321513,-0.029734278959810893,-0.01975624999999998,-0.03938744186046513,0.009978028959810915,0.019631191860465153,0.2860520094562648,0.28846153846153844,0.2837209302325581
MGC_1000,MGC_1100,2525,1268,0.5021782178217822,-0.2886754851485149,-0.2803491324921136,-0.2970747016706444,0.008326352656401304,0.016725569178530852,0.2883168316831683,0.2910094637223975,0.2856006364359586
MNQ_0900,MGC_1800,2516,238,0.0945945945945946,-0.3299538950715421,-0.31617352941176474,-0.33139363476733974,0.01378036565977736,0.015220105355574998,0.2802066772655008,0.24369747899159663,0.2840210711150132
MNQ_2300,MNQ_0030,423,208,0.491725768321513,-0.029734278959810893,-0.02393076923076924,-0.03534883720930233,0.005803509729041652,0.011418067978533092,0.2860520094562648,0.28846153846153844,0.2837209302325581
MGC_1800,MGC_2300,2292,1173,0.5117801047120419,-0.3180875654450262,-0.3141403239556692,-0.322225290437891,0.00394724148935699,0.00808496648222179,0.2617801047120419,0.2659846547314578,0.257372654155496
MNQ_1000,MGC_2300,2292,213,0.09293193717277487,-0.3180875654450262,-0.31115727699530515,-0.318797594997595,0.006930288449721045,0.00764031800228987,0.2617801047120419,0.2347417840375587,0.26455026455026454
MES_1000,MGC_2300,2292,770,0.33595113438045376,-0.3180875654450262,-0.31401792207792206,-0.3201464520367937,0.0040696433671041365,0.006128529958871642,0.2617801047120419,0.24935064935064935,0.2680683311432326
MGC_0900,MGC_1100,2525,1181,0.46772277227722775,-0.2886754851485149,-0.2865489415749365,-0.2905441220238095,0.0021265435735783877,0.003995180448873037,0.2883168316831683,0.28958509737510585,0.28720238095238093
MES_0900,MGC_1000,2547,843,0.3309776207302709,-0.36728653317628585,-0.36502550415183865,-0.3684051056338028,0.002261029024447192,0.003379601481964145,0.28857479387514723,0.2775800711743772,0.29401408450704225
MES_1100,MES_0030,1585,779,0.4914826498422713,-0.13733722397476342,-0.1372630295250321,-0.1374089330024814,7.41944497313074e-05,0.00014590347744927734,0.273186119873817,0.27214377406931967,0.27419354838709675
MNQ_0900,MGC_2300,2292,218,0.09511343804537521,-0.3180875654450262,-0.3182977064220183,-0.31806547733847634,-0.00021014097699212364,-0.00023222908354197935,0.2617801047120419,0.23394495412844038,0.2647058823529412
MGC_1100,MGC_2300,2292,1148,0.5008726003490401,-0.3180875654450262,-0.32221489547038323,-0.3139458041958042,-0.004127330025357034,-0.008269091274579032,0.2617801047120419,0.2621951219512195,0.26136363636363635
MES_1000,MES_1100,1787,888,0.4969222160044768,-0.27530173475097935,-0.2809824324324324,-0.26969054505005563,-0.005680697681453073,-0.011291887382376797,0.26357022943480696,0.26238738738738737,0.26473859844271413
MES_1000,MGC_1100,2525,877,0.3473267326732673,-0.2886754851485149,-0.29625165336374004,-0.28464375,-0.007576168215225165,-0.011607903363740069,0.2883168316831683,0.2690992018244014,0.29854368932038833
MES_1800,MNQ_0030,423,204,0.48226950354609927,-0.029734278959810893,-0.03631127450980393,-0.02360776255707765,-0.006576995549993039,-0.012703511952726284,0.2860520094562648,0.28431372549019607,0.2876712328767123
MGC_1100,MES_0030,1585,790,0.49842271293375395,-0.13733722397476342,-0.14457025316455696,-0.1301496855345912,-0.007233029189793544,-0.01442056762996577,0.273186119873817,0.2708860759493671,0.27547169811320754
MES_0900,MES_0030,1585,758,0.4782334384858044,-0.13733722397476342,-0.14636886543535624,-0.12905912938331318,-0.00903164146059282,-0.017309736052043057,0.273186119873817,0.2691292875989446,0.27690447400241835
MGC_0900,MGC_1000,2547,1194,0.46878680800942285,-0.36728653317628585,-0.37664614740368507,-0.3590268292682927,-0.009359614227399227,-0.01761931813539236,0.28857479387514723,0.28391959798994976,0.2926829268292683
MGC_1000,MGC_2300,2292,1148,0.5008726003490401,-0.3180875654450262,-0.3272716027874565,-0.3088714160839161,-0.009184037342430285,-0.018400186703540378,0.2617801047120419,0.259581881533101,0.263986013986014
MGC_2300,MES_0030,1585,778,0.4908517350157729,-0.13733722397476342,-0.15287236503856044,-0.12236034696406443,-0.015535141063797026,-0.03051201807449601,0.273186119873817,0.2699228791773779,0.27633209417596033
MGC_0900,MES_0030,1585,762,0.4807570977917981,-0.13733722397476342,-0.15520879265091864,-0.12079027946537058,-0.01787156867615522,-0.03441851318554806,0.273186119873817,0.2677165354330709,0.2782503037667072
MGC_1100,MGC_1800,2516,1268,0.5039745627980922,-0.3299538950715421,-0.3530839116719243,-0.3064532051282051,-0.02313001660038222,-0.0466307065437192,0.2802066772655008,0.27129337539432175,0.28926282051282054
MES_1000,MNQ_1100,512,250,0.48828125,-0.015373437500000003,-0.04834799999999999,0.016090839694656495,-0.032974562499999985,-0.06443883969465648,0.30859375,0.296,0.32061068702290074
MNQ_0900,MNQ_0030,423,218,0.5153664302600472,-0.029734278959810893,-0.06263990825688073,0.005258048780487812,-0.03290562929706984,-0.06789795703736855,0.2860520094562648,0.27522935779816515,0.2975609756097561
MES_1000,MNQ_0030,423,224,0.5295508274231678,-0.029734278959810893,-0.062294196428571445,0.006916080402010026,-0.03255991746876055,-0.06921027683058147,0.2860520094562648,0.2767857142857143,0.2964824120603015
MNQ_1800,MNQ_0030,423,193,0.4562647754137116,-0.029734278959810893,-0.06859481865284975,0.0028747826086956293,-0.038860539693038855,-0.07146960126154538,0.2860520094562648,0.27461139896373055,0.2956521739130435
MGC_0900,MNQ_1100,512,253,0.494140625,-0.015373437500000003,-0.051992490118577074,0.020397297297297303,-0.03661905261857707,-0.07238978741587437,0.30859375,0.2964426877470356,0.3204633204633205
MGC_1800,MNQ_0030,423,228,0.5390070921985816,-0.029734278959810893,-0.0665,0.013253333333333344,-0.03676572104018911,-0.07975333333333334,0.2860520094562648,0.27631578947368424,0.29743589743589743
MES_1800,MES_0030,1585,774,0.48832807570977915,-0.13733722397476342,-0.1783906976744186,-0.09815672009864364,-0.041053473699655174,-0.08023397757577495,0.273186119873817,0.2596899224806202,0.28606658446362515
MGC_0900,MES_1100,1787,852,0.47677672076105204,-0.27530173475097935,-0.3194828638497652,-0.23504256684491975,-0.044181129098785854,-0.08444029700484545,0.26357022943480696,0.24647887323943662,0.279144385026738
MNQ_1100,MNQ_0030,423,217,0.5130023640661938,-0.029734278959810893,-0.07482258064516129,0.017761650485436892,-0.04508830168535039,-0.09258423113059817,0.2860520094562648,0.271889400921659,0.30097087378640774
MGC_0900,MES_1000,1796,840,0.46770601336302897,-0.1877968262806236,-0.24249107142857143,-0.13973912133891214,-0.05469424514794782,-0.10275195008965929,0.28229398663697103,0.2630952380952381,0.29916317991631797
MNQ_1000,MNQ_0030,423,212,0.5011820330969267,-0.029734278959810893,-0.08885801886792453,0.0296696682464455,-0.05912373990811364,-0.11852768711437003,0.2860520094562648,0.2688679245283019,0.3033175355450237
MES_1100,MNQ_0030,423,217,0.5130023640661938,-0.029734278959810893,-0.10632119815668202,0.050942233009708716,-0.07658691919687113,-0.15726343116639074,0.2860520094562648,0.2626728110599078,0.3106796116504854
MGC_1100,MNQ_0030,423,212,0.5011820330969267,-0.029734278959810893,-0.12007122641509435,0.06103080568720378,-0.09033694745528345,-0.18110203210229814,0.2860520094562648,0.25943396226415094,0.3127962085308057
MGC_2300,MNQ_0030,423,216,0.5106382978723404,-0.029734278959810893,-0.1202101851851852,0.06467536231884055,-0.0904759062253743,-0.18488554750402575,0.2860520094562648,0.25925925925925924,0.3140096618357488
