strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MGC_1800_E1_RR1.5_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.2139,1.8987,8,1.3783,1.0,,0.0,6,0.9947,0.8333,,1.0,LOW-N
MGC_0900_E1_RR3.0_CB1_ORB_G5,validated,MGC,0900,ORB_G5,42,1.1721,0.6457,27,1.3084,0.6296,0.724,3.0,15,0.9267,0.5333,0.4965,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB5_ORB_G8,validated,MNQ,0900,ORB_G8,112,0.6143,0.3279,44,0.3831,0.3636,0.2069,8.47,68,0.7639,0.4706,0.405,6.0,SUMMER-DOMINANT
MGC_1800_E1_RR3.0_CB1_ORB_G6,experimental,MGC,1800,ORB_G6,20,1.463,0.7881,13,1.3297,0.6154,0.6929,3.0,7,1.7105,0.7143,,1.0,LOW-N
MGC_1800_E1_RR1.5_CB5_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.224,1.907,8,1.3872,1.0,,0.0,6,1.0065,0.8333,,1.0,LOW-N
MGC_1800_E1_RR1.5_CB4_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.2212,1.9051,8,1.3839,1.0,,0.0,6,1.0043,0.8333,,1.0,LOW-N
MNQ_1800_E1_RR2.5_CB4_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.5647,1.1194,51,1.7969,0.8431,1.473,2.0,81,1.4186,0.7284,0.9535,2.0,WINTER-DOMINANT
MGC_0900_E1_RR2.5_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,21,0.8887,0.5299,15,0.7808,0.5333,0.4526,4.0,6,1.1583,0.6667,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB5_ORB_G5,validated,MNQ,0900,ORB_G5,134,0.6239,0.3821,46,0.3761,0.413,0.2266,6.3,88,0.7535,0.5455,0.4671,4.0,SUMMER-DOMINANT
MES_0900_E1_RR4.0_CB5_ORB_G4,experimental,MES,0900,ORB_G4,55,0.0705,0.0363,38,-0.0454,0.2105,-0.0242,10.0,17,0.3296,0.2941,0.1551,5.0,SUMMER-ONLY
