symbol,session,rr_target,confirm_bars,checkpoint_min,n_hit,n_total,pct_hit
M2K,BRISBANE_1025,3.0,2,5,8,298,2.7
M2K,BRISBANE_1025,3.0,2,10,20,298,6.7
M2K,BRISBANE_1025,3.0,2,15,38,298,12.8
M2K,BRISBANE_1025,3.0,2,20,54,298,18.1
M2K,BRISBANE_1025,3.0,2,30,81,298,27.2
M2K,BRISBANE_1025,3.0,2,45,115,298,38.6
M2K,BRISBANE_1025,3.0,2,60,148,298,49.7
M2K,BRISBANE_1025,3.0,2,90,189,298,63.4
M2K,BRISBANE_1025,3.0,2,120,213,298,71.5
M2K,BRISBANE_1025,3.0,2,150,223,298,74.8
M2K,BRISBANE_1025,3.0,2,180,231,298,77.5
M2K,BRISBANE_1025,3.0,2,240,240,298,80.5
M2K,BRISBANE_1025,3.0,2,300,253,298,84.9
M2K,BRISBANE_1025,3.0,2,360,270,298,90.6
M2K,BRISBANE_1025,3.0,2,420,282,298,94.6
M2K,BRISBANE_1025,3.0,2,480,289,298,97.0
M2K,BRISBANE_1025,3.0,3,5,5,299,1.7
M2K,BRISBANE_1025,3.0,3,10,19,299,6.4
M2K,BRISBANE_1025,3.0,3,15,37,299,12.4
M2K,BRISBANE_1025,3.0,3,20,42,299,14.0
M2K,BRISBANE_1025,3.0,3,30,68,299,22.7
M2K,BRISBANE_1025,3.0,3,45,96,299,32.1
M2K,BRISBANE_1025,3.0,3,60,124,299,41.5
M2K,BRISBANE_1025,3.0,3,90,160,299,53.5
M2K,BRISBANE_1025,3.0,3,120,188,299,62.9
M2K,BRISBANE_1025,3.0,3,150,208,299,69.6
M2K,BRISBANE_1025,3.0,3,180,217,299,72.6
M2K,BRISBANE_1025,3.0,3,240,231,299,77.3
M2K,BRISBANE_1025,3.0,3,300,244,299,81.6
M2K,BRISBANE_1025,3.0,3,360,260,299,87.0
M2K,BRISBANE_1025,3.0,3,420,281,299,94.0
M2K,BRISBANE_1025,3.0,3,480,289,299,96.7
M2K,BRISBANE_1025,3.0,4,5,4,293,1.4
M2K,BRISBANE_1025,3.0,4,10,17,293,5.8
M2K,BRISBANE_1025,3.0,4,15,29,293,9.9
M2K,BRISBANE_1025,3.0,4,20,38,293,13.0
M2K,BRISBANE_1025,3.0,4,30,65,293,22.2
M2K,BRISBANE_1025,3.0,4,45,91,293,31.1
M2K,BRISBANE_1025,3.0,4,60,115,293,39.2
M2K,BRISBANE_1025,3.0,4,90,152,293,51.9
M2K,BRISBANE_1025,3.0,4,120,175,293,59.7
M2K,BRISBANE_1025,3.0,4,150,197,293,67.2
M2K,BRISBANE_1025,3.0,4,180,210,293,71.7
M2K,BRISBANE_1025,3.0,4,240,222,293,75.8
M2K,BRISBANE_1025,3.0,4,300,232,293,79.2
M2K,BRISBANE_1025,3.0,4,360,251,293,85.7
M2K,BRISBANE_1025,3.0,4,420,269,293,91.8
M2K,BRISBANE_1025,3.0,4,480,276,293,94.2
M2K,BRISBANE_1025,3.0,5,5,1,291,0.3
M2K,BRISBANE_1025,3.0,5,10,10,291,3.4
M2K,BRISBANE_1025,3.0,5,15,20,291,6.9
M2K,BRISBANE_1025,3.0,5,20,29,291,10.0
M2K,BRISBANE_1025,3.0,5,30,45,291,15.5
M2K,BRISBANE_1025,3.0,5,45,79,291,27.1
M2K,BRISBANE_1025,3.0,5,60,102,291,35.1
M2K,BRISBANE_1025,3.0,5,90,140,291,48.1
M2K,BRISBANE_1025,3.0,5,120,162,291,55.7
M2K,BRISBANE_1025,3.0,5,150,180,291,61.9
M2K,BRISBANE_1025,3.0,5,180,192,291,66.0
M2K,BRISBANE_1025,3.0,5,240,203,291,69.8
M2K,BRISBANE_1025,3.0,5,300,219,291,75.3
M2K,BRISBANE_1025,3.0,5,360,240,291,82.5
M2K,BRISBANE_1025,3.0,5,420,264,291,90.7
M2K,BRISBANE_1025,3.0,5,480,278,291,95.5
M2K,BRISBANE_1025,4.0,1,5,12,732,1.6
M2K,BRISBANE_1025,4.0,1,10,36,732,4.9
M2K,BRISBANE_1025,4.0,1,15,77,732,10.5
M2K,BRISBANE_1025,4.0,1,20,126,732,17.2
M2K,BRISBANE_1025,4.0,1,30,204,732,27.9
M2K,BRISBANE_1025,4.0,1,45,305,732,41.7
M2K,BRISBANE_1025,4.0,1,60,377,732,51.5
M2K,BRISBANE_1025,4.0,1,90,485,732,66.3
M2K,BRISBANE_1025,4.0,1,120,542,732,74.0
M2K,BRISBANE_1025,4.0,1,150,574,732,78.4
M2K,BRISBANE_1025,4.0,1,180,597,732,81.6
M2K,BRISBANE_1025,4.0,1,240,610,732,83.3
M2K,BRISBANE_1025,4.0,1,300,629,732,85.9
M2K,BRISBANE_1025,4.0,1,360,668,732,91.3
M2K,BRISBANE_1025,4.0,1,420,695,732,94.9
M2K,BRISBANE_1025,4.0,1,480,710,732,97.0
