trading_day,year,instrument,session,dst_regime,day_of_week,pnl_r,outcome,break_dir,orb_size,entry_price,stop_price,risk_dollars,eb_open,eb_close,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_2bar,c6_reversal_3bar,c6_reversal_4bar,c6_reversal_5bar,c6_reversal_6bar,c6_reversal_7bar,c6_reversal_8bar,c6_reversal_10bar,c6_exit_close_1bar,c6_exit_close_2bar,c6_exit_close_3bar,c6_exit_close_4bar,c6_exit_close_5bar,c6_exit_close_6bar,c6_exit_close_7bar,c6_exit_close_8bar,c6_exit_close_10bar
2025-05-05,2025,MGC,1000,clean,0,-1.0000,loss,short,4.3000,3250.3000,3256.0000,,3250.3000,3251.0000,0.2791,0.3333,24.0000,False,False,False,False,False,True,True,True,True,True,True,,,,3251.7000,3251.7000,3251.7000,3251.7000,3251.7000,3251.7000
2025-05-07,2025,MGC,1000,clean,2,1.7586,win,short,8.1000,3400.7000,3410.3000,,3400.7000,3401.7000,0.2346,0.3214,1.0000,False,False,False,False,True,True,True,True,True,True,True,,,3402.2000,3402.2000,3402.2000,3402.2000,3402.2000,3402.2000,3402.2000
2025-05-12,2025,MGC,1000,clean,0,1.5828,win,short,4.8000,3290.3000,3295.5000,,3290.3000,3289.2000,0.0833,0.1500,1.0000,False,True,False,False,False,False,False,False,True,True,True,,,,,,,3292.1000,3292.1000,3292.1000
2025-05-14,2025,MGC,1000,clean,2,1.7490,win,short,7.1000,3249.3000,3258.5000,,3249.3000,3248.4000,0.3239,0.0000,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-05-15,2025,MGC,1000,clean,3,-1.0000,loss,short,5.2000,3183.3000,3188.9000,,3183.3000,3184.0000,0.0577,0.7500,19.0000,True,False,True,True,True,True,True,True,True,True,True,3185.2000,3185.2000,3185.2000,3185.2000,3185.2000,3185.2000,3185.2000,3185.2000,3185.2000
2025-05-16,2025,MGC,1000,clean,4,-1.0000,loss,long,4.7000,3246.7000,3240.3000,,3246.7000,3246.4000,0.3404,0.2000,53.0000,False,False,True,True,True,True,True,True,True,True,True,3244.3000,3244.3000,3244.3000,3244.3000,3244.3000,3244.3000,3244.3000,3244.3000,3244.3000
2025-05-23,2025,MGC,1000,clean,4,-1.0000,loss,short,6.7000,3289.7000,3300.9000,,3289.7000,3290.4000,0.6567,0.0667,46.0000,False,False,False,False,True,True,True,True,True,True,True,,,3296.3000,3296.3000,3296.3000,3296.3000,3296.3000,3296.3000,3296.3000
2025-05-29,2025,MGC,1000,clean,3,-1.0000,loss,short,8.5000,3278.0000,3287.8000,,3278.0000,3279.5000,0.1059,0.0000,1.0000,True,False,True,True,True,True,True,True,True,True,True,3281.5000,3281.5000,3281.5000,3281.5000,3281.5000,3281.5000,3281.5000,3281.5000,3281.5000
2025-06-03,2025,MGC,1000,clean,1,1.6205,win,short,4.2000,3408.4000,3414.2000,,3408.4000,3407.6000,0.4048,0.0000,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-06-04,2025,MGC,1000,clean,2,1.5368,win,short,4.0000,3380.1000,3384.7000,,3380.1000,3379.9000,0.2000,0.4444,1.0000,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,3380.7000
2025-06-05,2025,MGC,1000,clean,3,-1.0000,loss,long,4.5000,3404.1000,3398.0000,,3404.1000,3404.7000,0.3333,0.2000,6.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-06-10,2025,MGC,1000,clean,1,1.6316,win,short,5.2000,3340.6000,3346.6000,,3340.6000,3340.9000,0.1731,0.2222,4.0000,False,False,True,True,True,True,True,True,True,True,True,3342.0000,3342.0000,3342.0000,3342.0000,3342.0000,3342.0000,3342.0000,3342.0000,3342.0000
2025-06-12,2025,MGC,1000,clean,3,-0.5607,early_exit,long,4.8000,3389.9000,3383.0000,,3389.9000,3387.7000,0.4167,0.2000,1.0000,True,False,True,True,True,True,True,True,True,True,True,3386.3000,3386.3000,3386.3000,3386.3000,3386.3000,3386.3000,3386.3000,3386.3000,3386.3000
2025-06-13,2025,MGC,1000,clean,4,1.8603,win,long,12.2000,3429.6000,3412.4000,,3429.6000,3432.2000,0.3934,0.0000,1.0000,False,True,False,False,False,False,False,True,True,True,True,,,,,,3423.9000,3423.9000,3423.9000,3423.9000
2025-06-16,2025,MGC,1000,clean,0,-0.5295,early_exit,long,7.9000,3465.3000,3457.0000,,3465.3000,3465.2000,0.0759,0.2500,3.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-06-17,2025,MGC,1000,clean,1,-0.6370,early_exit,short,5.7000,3415.0000,3422.7000,,3415.0000,3415.4000,0.3509,0.0000,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-06-23,2025,MGC,1000,clean,0,1.6087,win,short,4.3000,3383.7000,3389.3000,,3383.7000,3384.4000,0.3023,0.0588,1.0000,False,False,True,True,True,True,True,True,True,True,True,3385.3000,3385.3000,3385.3000,3385.3000,3385.3000,3385.3000,3385.3000,3385.3000,3385.3000
2025-06-24,2025,MGC,1000,clean,1,-1.0000,loss,long,12.8000,3360.8000,3347.0000,,3360.8000,3361.6000,0.0859,0.3846,3.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-06-26,2025,MGC,1000,clean,3,-0.4349,early_exit,short,6.7000,3345.9000,3353.2000,,3345.9000,3346.5000,0.0896,0.0000,1.0000,True,False,True,True,True,True,True,True,True,True,True,3346.9000,3346.9000,3346.9000,3346.9000,3346.9000,3346.9000,3346.9000,3346.9000,3346.9000
2025-06-27,2025,MGC,1000,clean,4,-0.2308,early_exit,short,4.9000,3327.6000,3333.0000,,3327.6000,3328.2000,0.0816,0.1429,1.0000,True,False,False,False,False,False,False,False,False,True,True,,,,,,,,3328.1000,3328.1000
2025-07-02,2025,MGC,1000,clean,2,-0.5683,early_exit,long,5.3000,3351.3000,3343.8000,,3351.3000,3351.8000,0.4151,0.5238,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-07-03,2025,MGC,1000,clean,3,-0.1781,early_exit,short,4.9000,3355.8000,3360.8000,,3355.8000,3356.3000,0.0408,0.4000,1.0000,True,False,True,True,True,True,True,True,True,True,True,3357.7000,3357.7000,3357.7000,3357.7000,3357.7000,3357.7000,3357.7000,3357.7000,3357.7000
2025-07-07,2025,MGC,1000,clean,0,1.5191,win,short,4.0000,3334.2000,3338.6000,,3334.2000,3334.0000,0.0750,0.2500,1.0000,False,True,False,False,False,False,False,False,True,True,True,,,,,,,3334.7000,3334.7000,3334.7000
2025-07-09,2025,MGC,1000,clean,2,-0.2138,early_exit,short,6.6000,3309.2000,3316.5000,,3309.2000,3308.8000,0.1061,0.0909,1.0000,False,True,False,False,True,True,True,True,True,True,True,,,3310.8000,3310.8000,3310.8000,3310.8000,3310.8000,3310.8000,3310.8000
2025-07-22,2025,MGC,1000,clean,1,1.5610,win,short,4.4000,3406.2000,3411.1000,,3406.2000,3406.1000,0.1136,0.1429,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-07-23,2025,MGC,1000,clean,2,-0.1988,early_exit,long,4.7000,3444.9000,3439.0000,,3444.9000,3444.8000,0.2553,0.3077,3.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-07-29,2025,MGC,1000,clean,1,-1.0000,loss,short,4.4000,3365.3000,3370.3000,,3365.3000,3365.4000,0.2273,0.2727,1.0000,False,False,False,False,False,True,True,True,True,True,True,,,,3366.3000,3366.3000,3366.3000,3366.3000,3366.3000,3366.3000
2025-08-04,2025,MGC,1000,clean,0,-1.0000,loss,short,6.2000,3408.6000,3415.3000,,3408.6000,3409.2000,0.0484,0.0000,1.0000,True,False,False,True,True,True,True,True,True,True,True,,3409.4000,3409.4000,3409.4000,3409.4000,3409.4000,3409.4000,3409.4000,3409.4000
2025-08-08,2025,MGC,1000,clean,4,-1.0000,loss,long,7.0000,3502.4000,3495.2000,,3502.4000,3502.5000,0.0429,0.5882,1.0000,False,True,False,False,False,True,True,True,True,True,True,,,,3501.8000,3501.8000,3501.8000,3501.8000,3501.8000,3501.8000
2025-08-11,2025,MGC,1000,clean,0,1.5962,win,short,4.3000,3450.2000,3455.6000,,3450.2000,3450.5000,0.2791,0.6923,1.0000,False,False,False,False,False,False,True,True,True,True,True,,,,,3452.2000,3452.2000,3452.2000,3452.2000,3452.2000
2025-08-19,2025,MGC,1000,clean,1,-1.0000,loss,long,5.5000,3378.1000,3370.6000,,3378.1000,3380.2000,0.3455,0.5385,3.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-08-26,2025,MGC,1000,clean,1,1.7212,win,long,7.3000,3404.3000,3396.1000,,3404.3000,3404.6000,0.1370,0.0952,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-09-15,2025,MGC,1000,clean,0,-1.0000,loss,long,4.9000,3678.3000,3671.4000,,3678.3000,3677.5000,0.3878,0.8462,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-09-18,2025,MGC,1000,clean,3,1.6613,win,short,5.2000,3697.3000,3703.9000,,3697.3000,3696.8000,0.2308,0.0000,1.0000,False,True,False,False,False,False,False,True,True,True,True,,,,,,3699.2000,3699.2000,3699.2000,3699.2000
2025-09-24,2025,MGC,1000,clean,2,-1.0000,loss,short,4.0000,3792.0000,3797.2000,,3792.0000,3791.8000,0.3000,0.8182,5.0000,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,3793.6000
