sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
SINGAPORE_OPEN,15,E1,1.0,ORB_G8,834,0.006383333333333336,0.09336044609966203,0.9257278004038336,2,4,444,0.160990990990991
SINGAPORE_OPEN,15,E1,1.5,NO_FILTER,4456,-0.1268882854578097,-3.810950836703783,0.00014770053185453994,0,4,454,0.2416715859030837
SINGAPORE_OPEN,15,E1,1.5,ORB_G4,1703,0.003795126247798006,0.06407589151828377,0.9489462735516079,3,4,454,0.2416715859030837
SINGAPORE_OPEN,15,E1,1.5,ORB_G6,1113,-0.035524438454627126,-0.47834555153822456,0.6328586466304623,1,4,454,0.2416715859030837
SINGAPORE_OPEN,15,E1,1.5,ORB_G8,834,-0.04832685851318944,-0.5629278253702773,0.5742300670950251,2,4,444,0.2536418918918919
SINGAPORE_OPEN,15,E1,2.0,NO_FILTER,4456,-0.12039827199281866,-3.109659111907607,0.001931071305467461,0,4,454,0.2792640969162995
SINGAPORE_OPEN,15,E1,2.0,ORB_G4,1703,0.006723076923076919,0.0979269299964959,0.9220462117946738,2,4,454,0.2792640969162995
SINGAPORE_OPEN,15,E1,2.0,ORB_G6,1113,-0.017874303683737658,-0.20736325550133325,0.8359096556622809,1,4,454,0.2792640969162995
SINGAPORE_OPEN,15,E1,2.0,ORB_G8,834,-0.03581702637889688,-0.36172916088181933,0.7180062985593381,2,4,444,0.28888198198198195
SINGAPORE_OPEN,15,E2,1.0,NO_FILTER,915,-0.11952655737704918,-4.267388940196141,2.1839857993229502e-05,0,4,91,0.1708945054945055
SINGAPORE_OPEN,15,E2,1.0,ORB_G4,352,-0.015026136363636365,-0.30454600273682414,0.7608924351503346,2,4,91,0.1708945054945055
SINGAPORE_OPEN,15,E2,1.0,ORB_G6,231,0.0018376623376623285,0.029624171457946415,0.9763924769800539,2,4,91,0.1708945054945055
SINGAPORE_OPEN,15,E2,1.0,ORB_G8,170,0.04662588235294119,0.6423375949583023,0.5215244129084478,3,4,89,0.17631235955056185
SINGAPORE_OPEN,15,E2,1.5,NO_FILTER,915,-0.12469814207650273,-3.6145186372243607,0.0003173404368529909,0,4,91,0.3094450549450549
