session,rr,cb,em,tier,n,avg_r,win_rate,t_stat,p_val,p_bh,bh_sig
0900,2.5,1,E3,SOLO_5,1783,-0.495,0.2,-26.087,0.0,0.0,True
0900,2.5,2,E0,NESTED_15,120,-0.3366,0.233,-4.145,0.0001,0.0001,True
0900,2.5,2,E0,NESTED_30,52,-0.2352,0.308,-1.753,0.0856,0.0906,True
0900,2.5,2,E0,SOLO_5,578,-0.389,0.251,-10.699,0.0,0.0,True
0900,2.5,2,E1,NESTED_15,583,-0.4917,0.185,-15.268,0.0,0.0,True
0900,2.5,2,E1,NESTED_30,481,-0.3918,0.21,-9.741,0.0,0.0,True
0900,2.5,2,E1,SOLO_5,1378,-0.4304,0.212,-18.821,0.0,0.0,True
0900,2.5,3,E0,NESTED_15,68,-0.337,0.235,-3.332,0.0014,0.0016,True
0900,2.5,3,E0,SOLO_5,341,-0.3921,0.258,-8.092,0.0,0.0,True
0900,2.5,3,E1,NESTED_15,618,-0.4594,0.186,-14.505,0.0,0.0,True
0900,2.5,3,E1,NESTED_30,608,-0.3867,0.211,-10.796,0.0,0.0,True
0900,2.5,3,E1,SOLO_5,1202,-0.4399,0.205,-18.258,0.0,0.0,True
0900,2.5,4,E0,NESTED_15,33,-0.7236,0.061,-7.371,0.0,0.0,True
0900,2.5,4,E0,SOLO_5,233,-0.4456,0.232,-7.839,0.0,0.0,True
0900,2.5,4,E1,NESTED_15,644,-0.4916,0.168,-16.516,0.0,0.0,True
0900,2.5,4,E1,NESTED_30,696,-0.343,0.226,-9.847,0.0,0.0,True
0900,2.5,4,E1,SOLO_5,1068,-0.4241,0.209,-16.491,0.0,0.0,True
0900,2.5,5,E0,SOLO_5,155,-0.5184,0.232,-8.44,0.0,0.0,True
0900,2.5,5,E1,NESTED_15,634,-0.4665,0.172,-15.177,0.0,0.0,True
0900,2.5,5,E1,NESTED_30,798,-0.3541,0.216,-11.209,0.0,0.0,True
0900,2.5,5,E1,SOLO_5,967,-0.4143,0.211,-15.083,0.0,0.0,True
0900,3.0,1,E0,NESTED_15,335,-0.4417,0.194,-9.026,0.0,0.0,True
0900,3.0,1,E0,NESTED_30,150,-0.3146,0.24,-3.836,0.0002,0.0002,True
0900,3.0,1,E0,SOLO_5,1749,-0.431,0.229,-19.511,0.0,0.0,True
0900,3.0,1,E1,NESTED_15,496,-0.5243,0.155,-14.585,0.0,0.0,True
0900,3.0,1,E1,NESTED_30,344,-0.5242,0.131,-11.873,0.0,0.0,True
0900,3.0,1,E1,SOLO_5,1627,-0.4411,0.207,-19.288,0.0,0.0,True
0900,3.0,1,E3,NESTED_15,345,-0.5036,0.157,-11.86,0.0,0.0,True
0900,3.0,1,E3,NESTED_30,147,-0.3294,0.231,-4.037,0.0001,0.0001,True
0900,3.0,1,E3,SOLO_5,1780,-0.5,0.195,-24.205,0.0,0.0,True
0900,3.0,2,E0,NESTED_15,120,-0.3828,0.2,-4.361,0.0,0.0,True
