entry_model,confirm_bars,rr_target,condition,n,n_on,signals_per_year,avg_on,avg_off,uplift,perm_p,test2025_uplift
E1,1,2.0,same_short,793,244,40.666666666666664,0.055702459016393445,-0.04283096539162114,0.09853342440801457,0.2425249169435216,0.5798053646563814
E1,1,2.0,same_fast15,793,419,69.83333333333333,0.035740334128878275,-0.06657219251336897,0.10231252664224724,0.2059800664451827,0.05780549450549445
E1,1,2.0,same_short_fast15,793,218,36.333333333333336,0.066748623853211,-0.04256347826086957,0.10931210211408057,0.1893687707641196,0.5115610510895441
E1,1,2.0,same_cont,793,469,78.16666666666667,0.014566098081023458,-0.051710802469135786,0.06627690055015925,0.3122923588039867,0.16284500000000002
E1,1,2.5,same_dir,763,452,75.33333333333333,0.02646283185840709,-0.11921479099678454,0.14567762285519165,0.12956810631229235,0.2588971786833856
E1,1,2.5,same_short,763,236,39.333333333333336,0.05389957627118645,-0.07179297912713473,0.1256925553983212,0.2059800664451827,0.722869878618114
E1,1,2.5,same_fast15,763,404,67.33333333333333,0.04362103960396042,-0.11904596100278553,0.16266700060674594,0.11627906976744186,0.14954091655470964
E1,1,2.5,same_short_fast15,763,212,35.333333333333336,0.06621273584905661,-0.07105571687840288,0.1372684527274595,0.18272425249169436,0.628780405932865
E1,1,2.5,same_cont,763,451,75.16666666666667,0.028738802660753893,-0.12203782051282051,0.1507766231735744,0.12292358803986711,0.2588971786833856
E1,1,3.0,same_dir,728,430,71.66666666666667,-0.04856348837209303,-0.14970503355704698,0.10114154518495394,0.21262458471760798,0.24407619667860628
E1,1,3.0,same_short,728,228,38.0,0.04166096491228069,-0.14998619999999996,0.19164716491228065,0.08637873754152824,0.8905556915544675
E1,1,3.0,same_fast15,728,386,64.33333333333333,-0.017533678756476666,-0.17171461988304096,0.1541809411265643,0.11295681063122924,0.16932602739726027
E1,1,3.0,same_short_fast15,728,206,34.333333333333336,0.06280485436893207,-0.15025325670498083,0.2130581110739129,0.0664451827242525,0.766081217948718
E1,1,3.0,same_cont,728,429,71.5,-0.04634568764568765,-0.15254882943143813,0.10620314178575048,0.19601328903654486,0.24407619667860628
E1,1,4.0,same_dir,663,389,64.83333333333333,-0.2634172236503856,-0.2986956204379562,0.03527839678757061,0.38870431893687707,0.2286418987341772
E1,1,4.0,same_short,663,212,35.333333333333336,-0.04165801886792445,-0.3890917960088692,0.3474337771409447,0.009966777408637873,1.1239073396567298
E1,1,4.0,same_fast15,663,351,58.5,-0.2098233618233618,-0.35469198717948724,0.14486862535612544,0.12956810631229235,0.2723629288551823
E1,1,4.0,same_short_fast15,663,193,32.166666666666664,0.005128497409326401,-0.3942589361702128,0.3993874335795392,0.009966777408637873,1.054290885780886
E1,1,4.0,same_cont,663,388,64.66666666666667,-0.2615188144329897,-0.3012458181818182,0.03972700374882854,0.38205980066445183,0.2286418987341772
E1,2,2.0,same_dir,894,521,86.83333333333333,0.06966276391554703,-0.005205630026809651,0.07486839394235668,0.26578073089701,0.2785644444444445
E1,2,2.0,same_short,894,270,45.0,0.11941555555555554,0.0033820512820512912,0.11603350427350424,0.14285714285714285,0.600590833474792
E1,2,2.0,same_fast15,894,474,79.0,0.08146075949367089,-0.01014238095238095,0.09160314044605183,0.2059800664451827,0.19016249999999998
E1,2,2.0,same_short_fast15,894,247,41.166666666666664,0.11143157894736844,0.010554868624420403,0.10087671032294804,0.17940199335548174,0.45850928571428573
E1,2,2.0,same_cont,894,520,86.66666666666667,0.0717198076923077,-0.007865508021390376,0.07958531571369806,0.21926910299003322,0.2785644444444445
E1,2,2.5,same_dir,842,485,80.83333333333333,-0.023609896907216474,-0.07220280112044816,0.04859290421323169,0.36212624584717606,0.3283400055370986
E1,2,2.5,same_short,842,252,42.0,0.025519841269841272,-0.07399694915254239,0.09951679042238366,0.21926910299003322,0.7736551923076922
E1,2,2.5,same_fast15,842,442,73.66666666666667,-0.002476244343891411,-0.09033175,0.08785550565610858,0.22259136212624583,0.23392725225225228
E1,2,2.5,same_short_fast15,842,231,38.5,0.020552380952380957,-0.06869852700490997,0.08925090795729093,0.2691029900332226,0.5729788864052022
E1,2,2.5,same_cont,842,484,80.66666666666667,-0.02159256198347106,-0.07479441340782121,0.05320185142435015,0.3521594684385382,0.3283400055370986
E1,2,3.0,same_dir,793,458,76.33333333333333,-0.14562292576419214,-0.18091134328358208,0.035288417519389936,0.36212624584717606,0.31095903614457826
