instrument,session,dst_regime,g_filter,stack_level,stack_label,n,n_baseline,pct_of_baseline,avg_r,win_rate,sharpe,pvalue,pvalue_bh,sample_class
MES,0030,summer,G6,L4,size+dir+conc+vol,103,173,0.595400,0.289253,0.466019,3.309124,0.036815,0.135931,PRELIMINARY
MES,0030,summer,G6,L5,size+dir+conc+vol+cal,91,173,0.526000,0.244766,0.450549,2.809476,0.094819,0.284457,REGIME
MES,0030,summer,G8,L0,size,104,104,1.000000,0.080423,0.384615,0.929413,0.551771,0.852182,PRELIMINARY
MES,0030,summer,G8,L1,size+dir,104,104,1.000000,0.080423,0.384615,0.929413,0.551771,0.852182,PRELIMINARY
MES,0030,summer,G8,L2,size+conc,93,104,0.894200,0.117030,0.397849,1.344206,0.416269,0.829315,REGIME
MES,0030,summer,G8,L3,size+dir+conc,93,104,0.894200,0.117030,0.397849,1.344206,0.416269,0.829315,REGIME
MES,0030,summer,G8,L4,size+dir+conc+vol,67,104,0.644200,0.174949,0.417910,1.987219,0.309261,0.723525,REGIME
MES,0030,summer,G8,L5,size+dir+conc+vol+cal,57,104,0.548100,0.134014,0.403509,1.528914,0.470167,0.829315,REGIME
MNQ,0030,winter,G4,L0,size,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G4,L1,size+dir,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G4,L2,size+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G4,L3,size+dir+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G4,L4,size+dir+conc+vol,82,154,0.532500,0.358293,0.463415,3.867362,0.030211,0.116818,REGIME
MNQ,0030,winter,G4,L5,size+dir+conc+vol+cal,72,154,0.467500,0.344075,0.458333,3.711796,0.051118,0.116818,REGIME
MNQ,0030,winter,G5,L0,size,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G5,L1,size+dir,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G5,L2,size+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G5,L3,size+dir+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G5,L4,size+dir+conc+vol,82,154,0.532500,0.358293,0.463415,3.867362,0.030211,0.116818,REGIME
MNQ,0030,winter,G5,L5,size+dir+conc+vol+cal,72,154,0.467500,0.344075,0.458333,3.711796,0.051118,0.116818,REGIME
MNQ,0030,winter,G6,L0,size,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G6,L1,size+dir,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G6,L2,size+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G6,L3,size+dir+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G6,L4,size+dir+conc+vol,82,154,0.532500,0.358293,0.463415,3.867362,0.030211,0.116818,REGIME
MNQ,0030,winter,G6,L5,size+dir+conc+vol+cal,72,154,0.467500,0.344075,0.458333,3.711796,0.051118,0.116818,REGIME
MNQ,0030,winter,G8,L0,size,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G8,L1,size+dir,154,154,1.000000,0.139882,0.389610,1.551201,0.227141,0.272569,PRELIMINARY
MNQ,0030,winter,G8,L2,size+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G8,L3,size+dir+conc,120,154,0.779200,0.244232,0.425000,2.667556,0.068144,0.116818,PRELIMINARY
MNQ,0030,winter,G8,L4,size+dir+conc+vol,82,154,0.532500,0.358293,0.463415,3.867362,0.030211,0.116818,REGIME
MNQ,0030,winter,G8,L5,size+dir+conc+vol+cal,72,154,0.467500,0.344075,0.458333,3.711796,0.051118,0.116818,REGIME
MNQ,0030,summer,G4,L0,size,314,314,1.000000,0.040109,0.363057,0.461269,0.606989,0.606989,CORE
MNQ,0030,summer,G4,L1,size+dir,314,314,1.000000,0.040109,0.363057,0.461269,0.606989,0.606989,CORE
MNQ,0030,summer,G4,L2,size+conc,258,314,0.821700,0.210503,0.422481,2.355557,0.017879,0.107273,CORE
MNQ,0030,summer,G4,L3,size+dir+conc,258,314,0.821700,0.210503,0.422481,2.355557,0.017879,0.107273,CORE
MNQ,0030,summer,G4,L4,size+dir+conc+vol,138,314,0.439500,0.252743,0.434783,2.797721,0.040297,0.116818,PRELIMINARY
MNQ,0030,summer,G4,L5,size+dir+conc+vol+cal,124,314,0.394900,0.185198,0.411290,2.064225,0.150162,0.225243,PRELIMINARY
MNQ,0030,summer,G5,L0,size,314,314,1.000000,0.040109,0.363057,0.461269,0.606989,0.606989,CORE
MNQ,0030,summer,G5,L1,size+dir,314,314,1.000000,0.040109,0.363057,0.461269,0.606989,0.606989,CORE
MNQ,0030,summer,G5,L2,size+conc,258,314,0.821700,0.210503,0.422481,2.355557,0.017879,0.107273,CORE
MNQ,0030,summer,G5,L3,size+dir+conc,258,314,0.821700,0.210503,0.422481,2.355557,0.017879,0.107273,CORE
