instrument,orb_label,orb_minutes,entry_model,rr_target,confirm_bars,filter_type,sample_size,win_rate,expr,sharpe,wfe,fdr_significant,wf_passed,status,promoted_at
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G5,1259,0.3336,0.0861,0.0727,0.6322,True,True,active,2026-03-23 16:02:18.331655+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G8_CONT,1236,0.3188,0.086,0.0703,1.1593,True,True,active,2026-03-23 16:02:18.893798+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G8_CONT,1172,0.4061,0.086,0.0849,0.7087,True,True,active,2026-03-23 16:02:17.307521+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_FAST10,595,0.2336,0.0859,0.0567,0.6071,False,True,active,2026-03-23 16:02:20.090272+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G6_NOMON,1004,0.4084,0.0859,0.0852,0.7856,True,True,active,2026-03-23 16:02:16.958071+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,VOL_RV12_N20,920,0.5728,0.0857,0.0912,0.5111,True,True,active,2026-03-23 16:02:15.496269+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G4_FAST10,1076,0.3346,0.0855,0.0724,0.7185,True,True,active,2026-03-23 16:02:17.936099+10:00
MNQ,LONDON_METALS,30,E2,2.5,1,ORB_G8_FAST5,423,0.2695,0.0855,0.062,0.5945,False,True,active,2026-03-23 16:02:19.699734+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G8,1240,0.3185,0.0854,0.0699,1.1211,True,True,active,2026-03-23 16:02:19.193270+10:00
MNQ,LONDON_METALS,30,E2,2.5,1,ORB_G8_NOMON,987,0.3242,0.0853,0.0544,0.8979,False,True,active,2026-03-23 16:02:19.753369+10:00
MNQ,LONDON_METALS,5,E2,3.0,1,ORB_G8_FAST5,819,0.243,0.0852,0.0577,0.3001,False,True,active,2026-03-23 16:02:20.495402+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G8_FAST10,994,0.4064,0.0852,0.0843,0.9662,True,True,active,2026-03-23 16:02:17.350206+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G5_FAST10,1072,0.334,0.0848,0.0718,0.7014,True,True,active,2026-03-23 16:02:18.215310+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G6_CONT,1238,0.3183,0.0847,0.0693,1.1768,True,True,active,2026-03-23 16:02:18.455163+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G6,1242,0.318,0.0841,0.0688,1.1373,True,True,active,2026-03-23 16:02:18.754843+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G8_FAST5,820,0.4061,0.0841,0.0833,1.1116,True,True,active,2026-03-23 16:02:17.388768+10:00
