strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_1100_E3_RR4.0_CB2_ORB_L3,1100,E3,4.0,2,ORB_L3,60,0.2667,-0.068,-0.0435,12.2713,False,876,0.1934,-0.3844,-0.3012,346.0891,False,0.3164,0.2577
MGC_1000_E2_RR4.0_CB1_ORB_L4,1000,E2,4.0,1,ORB_L4,161,0.2625,-0.038,-0.0232,20.2598,False,1148,0.2086,-0.3539,-0.275,418.8254,False,0.3159,0.2518
MGC_2300_E2_RR3.0_CB2_ORB_G8,2300,E2,3.0,2,ORB_G8,37,0.3125,0.1819,0.1021,9.5455,True,59,0.2292,-0.1337,-0.0833,14.0,False,0.3156,0.1854
MGC_0900_E3_RR3.0_CB2_ORB_G8,0900,E3,3.0,2,ORB_G8,22,0.4545,0.6765,0.3598,2.0,True,47,0.3636,0.3618,0.1984,7.0,False,0.3147,0.1614
MGC_0900_E1_RR4.0_CB2_NO_FILTER,0900,E1,4.0,2,NO_FILTER,249,0.241,-0.0565,-0.0332,27.9306,False,1217,0.2027,-0.3711,-0.2849,458.4043,False,0.3146,0.2517
MGC_0900_E2_RR1.0_CB4_ORB_L2,0900,E2,1.0,4,ORB_L2,98,0.6224,-0.1109,-0.1569,15.8452,False,939,0.4904,-0.4251,-0.6952,403.7216,False,0.3142,0.5383
MGC_1000_E1_RR4.0_CB2_ORB_L8,1000,E1,4.0,2,ORB_L8,230,0.2555,0.0103,0.0059,18.0706,False,1229,0.2101,-0.3034,-0.2194,400.7231,False,0.3137,0.2253
MGC_1000_E2_RR4.0_CB2_ORB_L6,1000,E2,4.0,2,ORB_L6,205,0.2562,0.0009,0.0005,18.0205,False,1201,0.209,-0.3117,-0.2277,397.7797,False,0.3126,0.2282
MGC_0900_E2_RR2.5_CB1_NO_FILTER,0900,E2,2.5,1,NO_FILTER,250,0.328,-0.1124,-0.0868,36.1143,False,1229,0.2666,-0.4249,-0.4238,532.0608,False,0.3125,0.337
MGC_1100_E1_RR4.0_CB2_ORB_L6,1100,E1,4.0,2,ORB_L6,156,0.2597,0.074,0.0405,25.8015,False,1138,0.207,-0.2381,-0.1577,298.0944,False,0.3121,0.1982
MGC_0900_E1_RR2.5_CB4_ORB_L4,0900,E1,2.5,4,ORB_L4,167,0.3413,-0.0974,-0.0766,25.4895,False,1081,0.2741,-0.408,-0.4097,449.5102,False,0.3106,0.3331
MGC_0900_E2_RR2.5_CB2_NO_FILTER,0900,E2,2.5,2,NO_FILTER,249,0.3293,-0.091,-0.069,29.7701,False,1217,0.2694,-0.3997,-0.3865,501.8307,False,0.3087,0.3175
MGC_2300_E3_RR3.0_CB5_ORB_L3,2300,E3,3.0,5,ORB_L3,30,0.3333,-0.0192,-0.0136,6.0,False,573,0.2468,-0.3278,-0.2766,184.7198,False,0.3086,0.263
MGC_0900_E1_RR2.5_CB1_NO_FILTER,0900,E1,2.5,1,NO_FILTER,250,0.328,-0.1182,-0.0916,37.5837,False,1229,0.2715,-0.4267,-0.4292,534.4226,False,0.3085,0.3376
MGC_0900_E2_RR3.0_CB1_NO_FILTER,0900,E2,3.0,1,NO_FILTER,250,0.284,-0.1156,-0.0809,39.2173,False,1229,0.2334,-0.424,-0.3874,532.0429,False,0.3084,0.3065
MGC_0900_E3_RR2.5_CB1_ORB_L8,0900,E3,2.5,1,ORB_L8,226,0.3496,-0.1244,-0.1018,32.2622,False,1177,0.2959,-0.4326,-0.4614,512.9887,False,0.3082,0.3596
MGC_0900_E2_RR4.0_CB2_NO_FILTER,0900,E2,4.0,2,NO_FILTER,249,0.2369,-0.0671,-0.0395,30.7892,False,1217,0.1993,-0.375,-0.2874,468.0977,False,0.3079,0.2479
MGC_1800_E2_RR3.0_CB5_ORB_L2,1800,E2,3.0,5,ORB_L2,33,0.3333,0.0359,0.024,8.9492,False,713,0.2571,-0.272,-0.218,203.2835,False,0.3079,0.242
MGC_0900_E2_RR1.5_CB1_NO_FILTER,0900,E2,1.5,1,NO_FILTER,250,0.46,-0.1132,-0.1153,37.0796,False,1229,0.3771,-0.4209,-0.5344,523.9248,False,0.3077,0.4191
MGC_0900_E2_RR1.5_CB1_ORB_L8,0900,E2,1.5,1,ORB_L8,228,0.4605,-0.13,-0.1353,35.8593,False,1182,0.3751,-0.4374,-0.572,520.0315,False,0.3074,0.4367
MGC_1000_E1_RR4.0_CB4_ORB_L8,1000,E1,4.0,4,ORB_L8,224,0.25,0.0265,0.0148,22.8237,False,1209,0.208,-0.2799,-0.1955,365.0831,False,0.3064,0.2103
MGC_0900_E1_RR4.0_CB5_ORB_L2,0900,E1,4.0,5,ORB_L2,98,0.2449,-0.1224,-0.0783,17.4958,False,939,0.1898,-0.4281,-0.3535,405.7486,False,0.3057,0.2752
MGC_0900_E3_RR2.5_CB1_ORB_L6,0900,E3,2.5,1,ORB_L6,205,0.3512,-0.1414,-0.1186,33.388,False,1149,0.2942,-0.4465,-0.4878,516.3874,False,0.3051,0.3692
MGC_1000_E1_RR4.0_CB3_NO_FILTER,1000,E1,4.0,3,NO_FILTER,247,0.2582,0.0498,0.0276,22.2662,False,1251,0.2168,-0.2548,-0.1761,350.5264,False,0.3046,0.2037
MGC_0900_E2_RR4.0_CB1_ORB_L8,0900,E2,4.0,1,ORB_L8,228,0.2281,-0.1412,-0.0881,42.5762,False,1182,0.1862,-0.4457,-0.3699,532.0227,False,0.3045,0.2818
MGC_0900_E1_RR2.5_CB2_NO_FILTER,0900,E1,2.5,2,NO_FILTER,249,0.3373,-0.0697,-0.0526,25.861,False,1217,0.2847,-0.3736,-0.3578,472.3275,False,0.3039,0.3052
MGC_0900_E2_RR2.5_CB4_ORB_L8,0900,E2,2.5,4,ORB_L8,221,0.3318,-0.0808,-0.061,24.4353,False,1159,0.276,-0.3847,-0.3717,450.7345,False,0.3039,0.3107
MGC_1000_E1_RR3.0_CB1_ORB_L6,1000,E1,3.0,1,ORB_L6,208,0.3221,-0.0108,-0.0074,23.1602,False,1211,0.2717,-0.3141,-0.2717,400.17,False,0.3033,0.2643
MGC_0900_E1_RR3.0_CB1_ORB_L2,0900,E1,3.0,1,ORB_L2,102,0.3039,-0.2217,-0.1852,27.4454,False,955,0.2262,-0.5228,-0.5714,503.7751,False,0.3011,0.3862
MGC_1100_E3_RR2.0_CB1_ORB_L3,1100,E3,2.0,1,ORB_L3,60,0.4333,-0.074,-0.0691,7.9842,False,893,0.324,-0.3751,-0.409,338.2933,False,0.3011,0.3399
MGC_0900_E3_RR3.0_CB1_ORB_L8,0900,E3,3.0,1,ORB_L8,226,0.2965,-0.1533,-0.1149,39.7364,False,1177,0.2481,-0.4541,-0.4488,538.4576,False,0.3008,0.3339
MGC_0900_E1_RR3.0_CB1_ORB_L8,0900,E1,3.0,1,ORB_L8,228,0.2851,-0.151,-0.1101,42.7668,False,1182,0.2326,-0.4516,-0.4312,541.1491,False,0.3006,0.3211
